Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi1,4165.30432,4182.26176,16.957440000000133,4180.41856,4258.2016,77.78304000000026,3,4.862094768438487,RS_region_onsets
GPi1,22195.36384,22238.94528,43.58143999999811,22219.71456,22352.56832,132.85375999999815,4,5.312238553750166,RS_region_onsets
GPi1,23450.95168,23461.92896,10.977280000002793,23461.92896,23653.33504,191.40608000000066,3,5.686946724441297,RS_region_onsets
GPi1,27899.61728,27920.34304,20.725760000001173,27909.03808,27967.488,58.44992000000275,3,4.502923134650439,RS_region_onsets
GPi1,30760.18176,30956.42112,196.23935999999958,30882.75456,30929.6128,46.85823999999775,6,4.30926216086149,RS_region_onsets
GPi1,37759.87712,38036.56192,276.6848000000027,37956.28032,38085.79584,129.51552000000083,7,4.954104104632026,RS_region_onsets
GPi1,38967.78752,38992.60928,24.821759999998903,38991.99488,39026.0736,34.07872000000498,3,4.110029125199679,RS_region_onsets
GPi1,42539.29472,42629.40672,90.11200000000099,42568.94976,42691.82976,122.87999999999738,5,5.102480247301909,RS_region_onsets
GPi1,56198.26688,56566.82496,368.55807999999524,56383.73376,56581.9392,198.2054399999979,12,8.635699314292607,RS_region_onsets
GPi1,67547.29984,67557.04832,9.748479999994743,67555.36896,67587.072,31.703039999993052,3,5.904027941210389,RS_region_onsets
GPi1,102694.7072,102802.14528,107.43807999999262,102740.74624,102889.0624,148.31616000000213,5,4.464042684174441,RS_region_onsets
GPi1,105452.9536,106042.49088,589.5372800000041,105795.42016,105926.94272,131.52256000001216,13,6.071359011995218,RS_region_onsets
GPi1,108059.52512,108414.19776,354.67263999998977,108203.35616,108540.928,337.57184000000416,8,4.22767921286736,RS_region_onsets
GPi1,112914.0224,112982.50752,68.48511999999755,112947.8144,113200.16896,252.3545599999925,4,4.600510738069538,RS_region_onsets
GPi1,114636.47232,114638.76608,2.293760000000475,114638.72512,114924.78976,286.06463999999687,3,8.288099264322787,RS_region_onsets
GPi1,127764.72576,127882.73152,118.00576000000001,127832.18688,128021.01248,188.82560000001104,9,12.01264812496592,RS_region_onsets
GPi1,152859.81184,153129.45152,269.63967999999295,153040.15872,153129.41056,89.25183999998262,7,4.162751944510661,RS_region_onsets
GPi1,154078.0032,154974.4128,896.4095999999845,154477.58848,154842.05056,364.4620799999975,18,6.798101045580272,RS_region_onsets
GPi1,163141.87776,163146.26048,4.382719999994151,163141.87776,163182.87872,41.00096000000485,3,7.491177331806185,RS_region_onsets
GPi1,183406.46912,183471.67744,65.20832000000519,183444.76672,183529.84064,85.07391999999527,4,4.409896599284217,RS_region_onsets
GPi1,192500.16256,192860.81536,360.65280000001076,192649.37984,192844.18560000003,194.80576000001747,10,6.483427635545969,RS_region_onsets
GPi1,196326.44096,196699.17696,372.7360000000044,196514.93888,196755.12832000002,240.18944000001648,12,8.08824508144683,RS_region_onsets
GPi1,198843.96544,199062.81472,218.8492799999949,198963.11808,199428.87424,465.756160000019,11,11.750263698208478,RS_region_onsets
GPi1,201910.59968,202028.6464,118.0467199999839,201955.67616,202113.92512,158.24895999999717,6,6.221722375932423,RS_region_onsets
GPi1,206494.35136,206786.1504,291.7990400000126,206612.25472,207031.11168,418.8569600000046,8,4.735255155608189,RS_region_onsets
GPi1,207157.6576,207183.33952,25.68192000000272,207172.73088,207265.05472,92.32383999999729,3,4.089357091201437,RS_region_onsets
GPi1,218025.73824,218225.41824,199.67999999999302,218151.58784,218428.35456,276.7667200000142,6,4.070110752161346,RS_region_onsets
GPi1,235996.7744,236113.92,117.14560000001802,236053.01248,236248.55552,195.54303999998956,5,4.2174236561986085,RS_region_onsets
GPi1,251000.58624,251576.23808,575.6518400000059,251218.16576,252202.43456,984.2687999999907,19,15.076449807423078,RS_region_onsets
GPi1,257701.96992,257727.16032,25.190399999992223,257704.09984,257976.89344,272.7936000000045,3,4.120445823263241,RS_region_onsets
