onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
344471.42912,344490.06592,18.6368000000366,344471.42912,344858.78783999995,387.35871999996016,5,6.271480912777964
344626.7904,344790.91712,164.1267200000002,344626.7904,344821.02272,194.23232000001008,11,6.224861786693527
358631.87456,358884.9664,253.09183999995003,358631.87456,358984.2944,352.41983999998774,17,8.043054317736257
360888.56576,361046.26176,157.69599999999627,360888.56576,361071.04256000003,182.476800000004,11,5.3072182111574095
361993.8304,362298.20416,304.3737600000459,361993.8304,362219.06944,225.23904000001494,17,5.143013633363759
373156.12672,373710.27456,554.1478399999905,373156.12672,373557.30944,401.1827199999825,30,8.93280216082776
376230.74816,376719.60576,488.85759999998845,376230.74816,376467.98848000006,237.2403200000408,30,11.016095786332926
379198.95552,379426.93888,227.9833599999547,379198.95552,379410.80064000003,211.84512000001268,19,9.503927458153775
387510.4768,387857.94048,347.4636799999862,387510.4768,387874.87743999995,364.4006399999489,30,17.833977731349844
389950.6688,390128.55808,177.88928000000305,389950.6688,390230.05696,279.38816000003135,19,13.031668182723035
394527.17056,394609.664,82.4934399999911,394527.17056,394580.99199999997,53.82143999997061,9,6.026775820029775
395737.00608,395980.30848,243.30239999998594,395737.00608,396445.16352,708.1574399999809,29,21.841029555755732
403441.50016,403763.56864,322.0684800000163,403441.50016,403741.24543999997,299.7452799999737,27,14.060900780506094
403919.01184,403949.11744,30.105600000009872,403919.01184,404086.45632,167.44448000000557,5,4.658283081512575
405342.69952,405541.0688,198.36927999998443,405342.69952,405660.52864000003,317.8291200000094,18,9.666275503415905
451700.24448,451858.30912,158.06463999999687,451700.24448,451898.49088,198.24640000000363,11,4.961183896856719
465331.93728,465357.25056,25.313280000002123,465331.93728,465827.18464000005,495.2473600000376,5,5.3180983680126985
465693.45024,465698.73408,5.283840000047348,465693.45024,465750.016,56.565760000026785,3,4.608671674932854
502656.36864,502701.91616,45.547520000021905,502656.36864,502796.22656,139.85791999998037,6,5.154040510743961
550813.94176,551093.4528,279.51104000001214,550813.94176,551162.63424,348.6924800000852,30,21.166561525066005
552039.34208,552190.1568,150.81472000002395,552039.34208,552244.1216,204.77951999998186,18,15.225168917347537
554381.06624,555002.6752,621.6089600000996,554381.06624,554487.2345599999,106.16831999993883,33,7.767062775364755
567575.71584,567591.03488,15.319040000089444,567575.71584,567704.8832,129.1673600000795,4,4.891661643111018
618928.25088,619041.9968,113.74592000001576,618928.25088,619037.06112,108.81024000002071,10,6.293652343415407
626113.29024,626479.88224,366.591999999946,626113.29024,626472.93952,359.64928000001237,28,14.305350100910276
634812.90752,635030.1184,217.21088000002783,634812.90752,634980.00384,167.09632000001147,16,6.820584258234251
639438.06976,639522.93888,84.86912000004668,639438.06976,639691.85792,253.78815999999642,11,9.297657249669044
644966.44096,645343.0272,376.5862399999751,644966.44096,645535.4368,568.9958399999887,40,25.46139074474483
646088.94976,646093.78304,4.83328000002075,646088.94976,646141.50144,52.55168000003323,3,4.707242554684358
651185.19296,651443.89632,258.7033600000432,651185.19296,651733.25824,548.0652799999807,28,19.918805647710055
657159.20896,657540.25984,381.05087999999523,657159.20896,657490.2886399999,331.0796799999662,30,16.864932817047553
658117.632,658202.78784,85.15584000002127,658117.632,658462.6585599999,345.0265599999111,8,4.787656549268191
664360.1408,664364.032,3.8911999999545515,664360.1408,664507.5968,147.4560000000056,3,5.289554618356718
783807.488,783809.78176,2.293760000029579,783807.488,784427.33568,619.8476800000062,3,6.066974651447001
787178.00448,787191.84896,13.844479999970645,787178.00448,787341.94688,163.9423999999417,4,5.1298265402453005
821182.30016,821328.97792,146.6777599999914,821182.30016,821685.4528,503.1526399999857,16,12.017805888372486
822385.54112,822390.53824,4.997120000072755,822385.54112,822498.95936,113.41824000002816,5,10.94179539455589
827036.79488,827150.82752,114.03264000010677,827036.79488,827463.43424,426.63936000003014,11,8.303157319274506
