onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
233196.1344,233215.95904,19.82463999997708,233208.6272,233438.20799999998,229.5807999999961,6,6.968520642603991
233752.00256,233758.76096,6.758400000020629,233755.56608000002,234242.80576000002,487.23967999999877,4,6.07312882691518
240686.40768,240687.02208,0.6143999999912921,240686.4896,240804.90496,118.4153600000136,3,7.8757622926951125
242569.99424,242790.68672,220.6924799999979,242673.56160000002,242893.68064,220.1190399999905,26,14.331736027883586
246026.6496,246158.04928,131.39968000000226,246116.67968,246491.83232,375.1526399999857,15,8.867994482118844
249084.68224,249178.5216,93.83936000001268,249132.97408,249304.33023999998,171.35615999996662,10,5.8050440162871135
259928.14592,260396.72832,468.5823999999848,260175.54432,260518.87104,343.32672000001185,31,7.665291487099159
261876.69504,262019.56352,142.86848000000464,261953.3312,262569.94304,616.6118399999978,19,12.88367655097061
263567.7696,263645.71648,77.94688000000315,263612.64128,263691.01824,78.37696000002325,14,11.596308864583753
264695.97184,264696.34048,0.36864000000059605,264696.09472,264755.03616,58.94144000002416,3,8.412563402864365
266323.31264,266439.4752,116.16255999996793,266379.79648,266685.15328,305.35680000000866,13,7.799026974892796
268977.23392,268977.88928,0.6553599999751896,268977.84832,269125.26336,147.4150399999926,3,7.798801251558984
269127.22944,269178.79808,51.56863999995403,269145.72288,269270.34368000005,124.62080000003334,8,5.6576178539091995
271359.01696,271387.2384,28.22143999999389,271369.60511999996,271641.35424,271.74912000005133,6,5.4760494144489655
276421.8368,276435.68128,13.844480000028852,276427.07968,278662.51264,2235.4329599999473,5,6.312484998401015
282660.82304,282663.44448,2.6214400000171736,282662.99392,282796.56448,133.57056000002194,3,5.276840380161536
