patient,period,lag_ms
s508,Period5,-126.83968000000004
s508,Period5,600.3116799999989
s508,Period5,207.67295999999624
s508,Period5,463.6371199999994
s508,Period5,-78.14079999999376
s508,Period5,220.47039999999106
s508,Period5,646.5030400000105
s508,Period5,320.28992000001017
s508,Period5,374.38400000002
s509,Period6,174.4262400000007
s509,Period6,208.84031999998842
s509,Period6,295.9686400000064
s509,Period6,654.9343999999983
s509,Period6,-229.96416000000318
s509,Period6,692.0787199999904
s509,Period6,315.54623999999603
s509,Period6,-141.03487999999197
s509,Period6,735.9033599999966
s509,Period6,616.8492799999658
s509,Period7,-208.97855999998865
s509,Period7,487.72159999998985
s509,Period7,138.92288000002736
s509,Period7,68.4729599999846
s509,Period7,715.7420799999963
s509,Period7,584.458879999991
s509,Period7,145.0783999999985
s509,Period7,572.946559999953
s509,Period7,1063.2915200000862
s509,Period7,-248.86847999994643
s509,Period7,970.1945599999744
s509,Period7,149.44447999994736
s509,Period7,-278.55552000005264
s509,Period7,483.87647999997716
s509,Period8,215.3465600000054
s509,Period8,282.7116800000076
s509,Period8,288.14400000000023
s509,Period8,408.9401599999983
s509,Period8,346.6233600000269
s509,Period8,235.04576000000816
s509,Period8,555.6409599999897
s509,Period8,428.67648000002373
s509,Period8,304.9401599999983
s509,Period9,299.1635200000019
s509,Period9,274.33791999999085
s509,Period9,223.45152000000235
s509,Period9,300.6316799999913
s509,Period9,391.43103999999585
s509,Period9,94.45951999997487
s510,Period10,-152.767359999998
s510,Period11,935.264639999994
s510,Period11,-32.931200000006356
s510,Period11,770.4569600000104
s510,Period11,383.3516800000216
s510,Period11,725.8246400000062
s510,Period11,573.441920000012
s510,Period12,-213.75935999998183
s510,Period12,464.91327999997884
s510,Period12,310.7462400000077
s510,Period12,228.3014400000102
s510,Period12,213.2998399999924
s510,Period12,383.99680000002263
s510,Period12,502.89471999998204
s510,Period12,325.116800000018
s510,Period12,349.29343999997946
s510,Period12,425.07328000001144
s510,Period12,368.5011199999717
s510,Period12,460.8249599999981
s510,Period13,-140.77247999998508
s510,Period13,-186.56576000002678
s511,Period1,125.06432000000001
s511,Period1,-116.08640000000014
s511,Period1,-134.7692800000077
s511,Period1,201.69920000000275
s511,Period1,915.4745600000024
s511,Period1,325.39584000001196
s511,Period1,576.1900800000003
s511,Period1,-153.88224000000628
s511,Period1,-218.0243199999968
s511,Period1,379.78304000000935
s511,Period1,262.8883199999982
s511,Period1,156.33983999997145
s511,Period1,-79.0112000000081
s511,Period1,51.17888000002131
s511,Period1,52.104319999984
s511,Period1,437.01951999997254
s511,Period1,391.43488000001526
s511,Period1,118.72704000002705
s511,Period1,-22.86528000002727
s511,Period1,846.4889599999879
s511,Period1,521.9705600000452
s511,Period1,526.9664000000339
s511,Period1,-271.7408000000287
s511,Period1,-173.19103999994695
s511,Period1,-226.06784000003245
s511,Period1,170.77951999998186
s511,Period1,526.6758400001563
s511,Period1,140.27711999998428
s511,Period1,21.842560000019148
s511,Period1,-197.8399999999674
s511,Period2,481.9679999999935
s511,Period2,-100.97727999999188
s511,Period2,285.5327999999863
s511,Period2,189.7990400000126
s511,Period2,745.1449600000051
s511,Period2,463.0278399999952
s511,Period2,513.0259199999855
s511,Period2,62.062719999987166
s511,Period2,265.5993599999929
s511,Period3,1060.15168
s511,Period3,-149.8016
s511,Period3,196.48576000000003
s511,Period3,553.2486400000016
s511,Period3,213.50848000000406
s511,Period3,447.2364800000214
s511,Period3,254.7244799999753
s511,Period3,494.4953600000008
s511,Period3,655.6294399999897
s512,Period10,76.7942400000029
s512,Period10,248.6022399999929
s512,Period10,421.8476800000062
s512,Period10,234.35839999999735
s512,Period10,359.92256000000634
s512,Period10,223.44639999998617
s512,Period10,158.56575999999768
s512,Period10,412.2643199999875
s512,Period10,368.5548800000106
s512,Period10,519.2787200000021
s512,Period10,-184.53695999999763
s512,Period10,300.09791999997105
s512,Period10,275.11103999998886
s512,Period11,114.40192000000025
s512,Period11,437.53408000000127
s512,Period11,-34.476159999998345
s512,Period11,101.62368000000424
s512,Period11,2113.8822400000063
s512,Period11,256.05951999999525
s512,Period11,414.6169599999994
s512,Period11,-53.683840000012424
s512,Period11,228.23232000001008
s512,Period11,543.6537600000156
s512,Period12,170.09600000000137
s512,Period12,189.5008000000089
s512,Period12,438.1932800000068
s512,Period12,133.4675200000056
s512,Period12,268.6611200000043
s512,Period12,838.2841599999811
s512,Period12,301.85408000001917
s512,Period12,331.99936000001617
s512,Period12,268.09023999999044
s512,Period9,260.0710399999989
s512,Period9,276.7392000000036
s512,Period9,175.48480000000563
s512,Period9,-276.9772799999919
s512,Period9,436.95808000001125
s512,Period9,273.3203199999698
s512,Period9,167.4899200000218
s512,Period9,421.4880000000121
s512,Period9,-165.71071999997366
s512,Period9,798.3776000000071
s512,Period9,243.90464000002248
s512,Period9,1287.2659199999762
s512,Period9,248.06975999998394
s515,Period1,286.5542400000013
s515,Period1,-252.06463999999687
s515,Period1,152.37056000000302
s515,Period1,-83.41311999999743
s515,Period1,63.24800000000687
s515,Period1,-205.44448000000557
s515,Period1,384.76480000000447
s515,Period1,-136.15424000000348
s515,Period1,477.80799999999
s515,Period1,442.2239999999874
s515,Period1,401.668479999993
s515,Period1,303.6575999999768
s515,Period1,226.69375999999465
s515,Period1,387.5360000000219
s515,Period1,531.0303999999887
s515,Period2,126.32383999999729
s515,Period2,276.4358399999983
s515,Period2,304.8723200000022
s515,Period2,189.6006400000042
s515,Period2,140.08000000000175
s515,Period2,-87.1302399999986
s515,Period2,207.244160000002
