patient,period,lag_ms
s508,Period5,522.4953600000008
s508,Period5,-88.04544000001624
s509,Period6,454.8102399999989
s509,Period6,-9.694080000001122
s509,Period6,-293.48287999999593
s509,Period6,122.39168000000063
s509,Period6,709.2691200000118
s509,Period6,-148.49600000001374
s509,Period6,-105.69536000001244
s509,Period6,-122.65151999995578
s509,Period6,124.24895999999717
s509,Period6,168.75327999994624
s509,Period6,371.4041600000346
s509,Period7,409.55583999998635
s509,Period7,52.17216000001645
s509,Period7,-232.1696000000229
s509,Period7,-239.65503999998327
s509,Period7,420.11456000001635
s509,Period7,-13.279360000044107
s509,Period7,681.2230399999535
s509,Period7,557.3024000000441
s509,Period7,30.10112000000663
s509,Period8,664.6022400000002
s509,Period8,1008.4217599999974
s509,Period8,626.9843199999887
s509,Period8,156.05695999998716
s509,Period8,-80.19519999998738
s509,Period8,485.3766400000022
s509,Period8,681.8668799999868
s509,Period8,192.51519999999437
s509,Period8,532.0211199999903
s509,Period9,213.2627199999988
s509,Period9,195.99808000000485
s509,Period9,372.27072000000044
s509,Period9,428.22464000000036
s509,Period9,578.5542399999977
s509,Period9,-40.99520000000484
s509,Period9,261.00672000000486
s509,Period9,679.4092800000217
s509,Period9,663.0521600000211
s509,Period9,-175.98272000002908
s509,Period9,540.3923199999845
s509,Period9,339.19296000001486
s509,Period9,576.3014400000102
s510,Period10,292.78144000000066
s510,Period10,-6.145920000009937
s510,Period11,626.599040000001
s510,Period11,469.40351999999257
s510,Period11,270.3801600000006
s510,Period11,507.25823999999557
s510,Period11,709.9423999999999
s510,Period12,338.9843200000032
s510,Period12,497.1513600000035
s510,Period12,374.7884800000029
s510,Period12,771.5743999999977
s510,Period12,487.7036799999769
s510,Period12,119.25183999998262
s510,Period13,67.39263999999821
s510,Period13,-6.0371199999935925
s510,Period13,2.824320000014268
s510,Period13,193.3651199999731
s511,Period1,110.74623999999994
s511,Period1,-127.31967999999961
s511,Period1,-44.02240000000165
s511,Period1,185.10656000000017
s511,Period1,111.99039999999513
s511,Period1,143.76767999998992
s511,Period1,648.6841600000043
s511,Period1,255.98655999999028
s511,Period1,486.1190399999905
s511,Period1,217.19232000000193
s511,Period1,347.1494400000083
s511,Period1,218.46335999999428
s511,Period1,-79.0355199999758
s511,Period1,370.0896000000066
s511,Period1,382.59136000002036
s511,Period1,344.86719999997877
s511,Period1,-214.19455999997444
s511,Period1,486.52223999996204
s511,Period1,-21.66975999996066
s511,Period1,587.7561599999899
s511,Period1,22.536319999955595
s511,Period1,651.5910400000867
s511,Period1,224.55616000003647
s511,Period1,-199.81887999991886
s511,Period1,-38.02560000005178
s511,Period1,221.58271999994759
s511,Period1,-243.14176000002772
s511,Period1,500.320640000049
s511,Period2,523.1596800000116
s511,Period2,-249.96927999999025
s511,Period2,501.2793599999859
s511,Period2,197.3279999999795
s511,Period2,-80.44224000000395
s511,Period2,-265.8847999999998
s511,Period2,474.75520000001416
s511,Period2,585.4854400000186
s511,Period2,420.215680000023
s511,Period2,585.3881599999731
