Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
VoSTNSNr,226293.76,227533.824,1240.063999999984,227055.5136,227446.00576,390.4921599999943,12,4.208571576992203,RS_region_onsets
VoSTNSNr,233146.44992,234285.8752,1139.4252799999958,233765.51936,234468.7616,703.2422399999923,13,5.649509155146135,RS_region_onsets
VoSTNSNr,243087.52384,243252.10112,164.5772799999977,243153.12128,243316.34688000003,163.22560000003432,6,6.0881815186985335,RS_region_onsets
VoSTNSNr,249168.2816,250394.86976,1226.588160000014,249584.06656,249698.46784,114.40127999999096,11,4.227633454113362,RS_region_onsets
VoSTNSNr,258428.5184,260533.61664,2105.098239999992,259564.38016,260561.92,997.5398400000122,19,7.542088931761014,RS_region_onsets
VoSTNSNr,263532.7488,263848.46848,315.71967999998014,263685.34528,264014.60224000004,329.2569600000279,8,6.689886103586125,RS_region_onsets
VoSTNSNr,266464.29696,266592.74752,128.4505599999684,266545.02911999996,266716.42624,171.39712000003783,8,9.109456771719785,RS_region_onsets
VoSTNSNr,270130.46272,270242.52928,112.06656000000658,270151.96672,271541.32992,1389.3631999999634,7,9.260191268088748,RS_region_onsets
VoSTNSNr,276223.5904,276518.95296,295.3625600000378,276414.13632,276821.11488,406.97856000001775,9,7.675506873884023,RS_region_onsets
VoSTNSNr,278306.73408,278322.33984,15.605759999947622,278309.84704,278604.51328,294.6662399999914,3,4.415485962937764,RS_region_onsets
VoSTNSNr,282410.68032,282476.66688,65.98655999999028,282440.88832,282761.216,320.3276799999876,12,22.274513796438494,RS_region_onsets
VoSTNSNr,286645.00224,286708.49024,63.48800000001211,286680.6784,286954.37312,273.6947200000286,9,15.356448798441548,RS_region_onsets
VoSTNSNr,287896.24832,288061.31712,165.0688000000082,287984.55808,288071.76192,87.20384000003105,7,7.134969525261177,RS_region_onsets
VoSTNSNr,298521.96864,298536.79616,14.827520000049844,298522.74688,298853.66272,330.9158400000306,3,4.840943045010603,RS_region_onsets
VoSTNSNr,304200.704,304431.63648,230.93247999995947,304284.01664,304509.87008,225.8534400000353,13,15.256595929336893,RS_region_onsets
VoSTNSNr,307536.11776,307811.77856,275.6608000000124,307665.24416,307790.9504,125.70623999997042,8,6.750273484884598,RS_region_onsets
