Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi,95467.02848,104983.92064,9516.892160000003,99468.86144000001,101436.6208,1967.7593599999964,10,7.559629301319193,RS_region_onsets
GPi,364609.04448,365130.62912,521.5846400000155,364944.1792,365264.73216,320.5529600000009,3,5.737068452289668,RS_region_onsets
GPi,434419.75296,453825.86368,19406.110719999997,446149.8368,447152.08704,1002.250240000023,13,5.383669924099101,RS_region_onsets
GPi,553495.51104,573367.00928,19871.498239999986,564880.67072,564939.12064,58.44991999992635,11,4.627620967157065,RS_region_onsets
GPi,583002.5216,588116.00896,5113.487360000028,586741.63712,586947.62496,205.98784000007436,5,3.9505587812356566,RS_region_onsets
VIMPPN,48314.81856,48329.5232,14.704640000003565,48326.2464,48470.58944,144.34303999999975,3,5.511690524817196,RS_region_onsets
VIMPPN,61257.60512,61457.408,199.80288000000292,61415.58784,61448.68352,33.09567999999854,5,4.34681281844232,RS_region_onsets
VIMPPN,140084.55168,140535.35744,450.80575999998837,140223.56992,140250.3168,26.746879999991506,7,4.166446230249476,RS_region_onsets
VIMPPN,143362.82624,143385.55904,22.73279999999795,143367.82336,143428.07552,60.25216000000364,3,4.731904016769116,RS_region_onsets
VIMPPN,156158.5664,156162.78528,4.218880000000354,156160.12288,156194.44736,34.32447999998112,3,7.281281266147625,RS_region_onsets
VIMPPN,160852.21376,161091.21536,239.00159999998868,161037.27104,161170.75968,133.48863999999594,5,4.522832591190792,RS_region_onsets
VIMPPN,250406.99392,250801.9712,394.9772799999919,250510.45888,250577.22368,66.76480000000447,7,6.021479998528231,RS_region_onsets
VIMPPN,295169.96608,295227.31008,57.34400000004098,295199.68256,295226.85952,27.176960000011604,4,5.4841135006134145,RS_region_onsets
VIMPPN,321263.12448,321618.49344,355.3689599999925,321476.25984,321542.20544,65.94559999997728,6,4.198661861415247,RS_region_onsets
VIMPPN,368776.11008,368781.39392,5.283839999989141,368776.92928,368881.21344,104.28416000003926,3,7.078055654199876,RS_region_onsets
VIMPPN,394194.24768,394213.7856,19.53792000003159,394201.53856,394227.13856,25.599999999976717,3,5.084031269067889,RS_region_onsets
VIMPPN,406867.27168,406890.25024,22.97856000001775,406890.12736,406918.88128,28.753919999988284,3,4.973083948444124,RS_region_onsets
