onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
5000.64256,5149.53216,148.88959999999952,5060.7104,5292.11392,231.40351999999984,12,4.72865531792953
17089.3312,17115.5456,26.21440000000075,17095.51616,17162.56768,67.05152000000089,5,4.652806495217732
47502.09024,47503.23712,1.1468800000002375,47502.09024,47508.48,6.389760000005481,3,5.739737912058731
52808.17152,52824.02304,15.851519999996526,52809.40032,52876.24704,66.84672000000137,7,9.556756504090323
85672.79616,85759.63136,86.83520000000135,85698.74432,86241.44383999999,542.6995199999947,10,5.133791479145808
100830.8224,100843.52,12.697599999999511,100834.59072,100904.83712,70.24640000000363,6,7.925370707002919
114145.03424,114235.06432,90.03008000001137,114201.3952,114360.27904,158.88383999999496,11,5.573795381321776
118946.93888,119257.57952,310.6406399999978,119062.97856,119351.37792,288.3993599999958,21,5.153963367912907
120488.22272,120888.36096,400.1382400000002,120743.03487999999,120949.10464,206.06976000001305,32,8.378174944588316
124234.3424,124405.84192,171.49952000001213,124317.02016,124504.28928,187.2691199999972,20,10.907196192062278
129643.68384,129661.00992,17.32607999999891,129655.52128,129687.10144,31.580159999997704,5,5.08952063851606
133270.07744,133444.8128,174.7353600000206,133326.86848,133555.26144,228.3929599999974,14,5.090453005258741
191666.50368,191669.4528,2.9491200000047684,191666.83136,192094.33088000002,427.4995200000121,4,6.7188343450407935
195202.17088,195350.89664,148.72576000000117,195280.01536,195626.45504,346.4396800000104,18,7.798045122888859
197259.01824,197265.44896,6.43072000000393,197262.88896,197478.97344,216.08447999999044,4,5.324907969191877
236427.91936,236428.77952,0.860160000011092,236428.77952,236622.88896,194.10944000000018,3,5.647976768025275
238873.64096,238908.17024,34.529280000017025,238883.34848,239043.54304,160.19456000000355,7,5.626720914977624
254457.77408,254459.94496,2.170879999990575,254459.94496,255073.85344,613.9084800000128,3,5.088360980089853
288401.53088,288409.43616,7.905280000006314,288404.8896,288724.11136,319.2217599999858,4,5.245288994455258
295661.44512,295737.09824,75.65312000003178,295693.27104,295862.29248,169.02143999998225,12,8.228916684041616
302660.11648,302662.32832,2.2118399999453686,302662.16448,302706.2784,44.11392000003252,3,4.706836484499863
309250.94912,309516.65664,265.7075199999963,309416.01792,309742.42816,326.41023999999743,31,13.083993375981605
313780.10112,313887.744,107.64287999999942,313827.36896,313952.23552,124.86655999999493,16,11.626167008780987
371836.02688,371836.84608,0.819199999968987,371836.06784,372010.5984,174.5305600000429,3,5.739737912058731
374123.02848,374161.16224,38.13375999999698,374145.35168,374464.67584,319.3241599999601,11,11.214391295878578
376948.61312,376950.74304,2.1299199999775738,376950.74304,377015.45984,64.7168000000529,3,5.143347910796795
393942.95808,393944.8832,1.925119999970775,393942.99904,393948.85632,5.8572799999965355,3,4.919427660414414
