Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi1,58739.46624,59001.0368,261.5705600000001,58829.33248,58930.54464,101.21216000000277,5,6.604651999796605,RS_region_onsets
GPi1,73642.84416,74105.0368,462.1926400000084,73852.7232,74076.07808,223.3548800000135,5,4.570298096345901,RS_region_onsets
GPi1,93566.81216,93622.92736,56.115200000000186,93601.62816,93873.99168,272.3635200000135,4,8.567218209090104,RS_region_onsets
GPi1,96602.9312,96859.29984,256.3686400000006,96736.89088,97613.35295999999,876.462079999983,4,4.494675850442974,RS_region_onsets
GPi1,103246.19264,103313.408,67.21536000000197,103305.216,103900.3648,595.1487999999954,3,5.0256480390733795,RS_region_onsets
GPi1,108876.06272,109390.72512,514.6624000000011,109163.39712,109833.95328,670.5561600000074,5,4.137097351866263,RS_region_onsets
GPi1,119457.5872,120045.7728,588.1856000000116,119766.30272,120136.94976,370.6470399999962,7,7.111708107787486,RS_region_onsets
GPi1,124706.57024,124796.64128,90.07103999999526,124722.74944,125306.42944,583.6800000000076,3,4.581424920665812,RS_region_onsets
GPi1,141734.37952,142829.81376,1095.4342400000023,142134.51776,142351.81056,217.29280000002473,7,4.470104724960148,RS_region_onsets
GPi1,143718.6048,144305.07008,586.465280000004,143992.91392000002,144212.93056,220.0166399999871,6,5.202084991912308,RS_region_onsets
GPi1,154875.82208,154929.93024,54.108159999974305,154903.87968,155092.62336,188.74367999998503,3,5.438550529887985,RS_region_onsets
GPi1,163949.89568,164509.36832,559.4726400000218,164225.82272,164435.37407999998,209.5513599999831,8,9.438561649633137,RS_region_onsets
GPi1,168615.7312,168721.8176,106.08640000000014,168670.8224,168874.35264,203.53023999999277,3,4.274304896057126,RS_region_onsets
GPi1,184119.54176,184885.53472,765.9929600000032,184394.87488,184413.55264,18.6777600000205,7,5.858340448775145,RS_region_onsets
