Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi1,1460.224,1631.19104,170.96704,1572.864,1683.6608,110.79680000000008,5,3.9885619046013474,RS_region_onsets
GPi1,17085.2352,17110.67136,25.43616000000111,17096.151039999997,17133.71136,37.56032000000414,4,7.440941309923012,RS_region_onsets
GPi1,37631.83616,37657.72288,25.886720000002242,37655.7568,37696.38912,40.63231999999698,3,4.450275850803903,RS_region_onsets
GPi1,47946.50624,47955.27168,8.765439999995579,47947.93984,48150.7328,202.79295999999886,3,6.213819757317774,RS_region_onsets
GPi1,55163.45344,55181.7216,18.268159999999625,55170.99008,55643.70944,472.7193599999955,3,5.085317706971921,RS_region_onsets
GPi1,56043.84768,56535.08096,491.2332800000004,56173.89568,56614.31808,440.42239999999583,10,6.791989911681836,RS_region_onsets
GPi1,64298.06592,64374.12864,76.06272000000172,64330.91584,64620.687359999996,289.7715199999948,4,4.518784879249711,RS_region_onsets
GPi1,71152.88576,71161.69216,8.806400000001304,71153.90976,71207.7312,53.82143999999971,3,6.228312764620341,RS_region_onsets
GPi1,75953.68448,76012.29824,58.61376000000746,75984.85504,76159.61088,174.755839999998,4,5.41604004542776,RS_region_onsets
GPi1,78724.54656,78749.57312,25.026559999998426,78742.56896,78778.32704,35.75807999999961,3,4.573581750871785,RS_region_onsets
GPi1,99867.48416,99915.07968,47.59551999998803,99904.75776000001,99954.3808,49.623039999991306,4,5.807474607964988,RS_region_onsets
GPi1,112277.54496,112311.33696,33.79200000000128,112300.2368,112355.77856,55.54176000000734,3,4.0069797212821125,RS_region_onsets
GPi1,113560.1664,113653.80096,93.63455999999132,113618.37056000001,113756.34432,137.9737599999935,4,4.19353343624276,RS_region_onsets
GPi1,115880.96,116196.06528,315.10527999998885,116014.03904,116144.04608,130.00703999999678,8,6.122374099532068,RS_region_onsets
GPi1,118434.16064,118502.64576,68.48511999999755,118449.47968,118532.23936,82.75968000000285,4,4.822797299712239,RS_region_onsets
GPi1,120514.39616,121142.43584,628.0396800000017,120775.72096,121064.98048,289.25951999999234,11,5.2888299036650235,RS_region_onsets
GPi1,123947.8272,124456.7552,508.9279999999999,124193.01376,124528.14848,335.13472000000183,9,4.716170656874319,RS_region_onsets
GPi1,128353.03424,128354.67264,1.6384000000107335,128353.03424,128393.74848,40.714240000001155,3,8.079230143808925,RS_region_onsets
GPi1,142490.624,143046.77888,556.1548799999873,142800.85504,143018.10688,217.25184000001173,9,3.9771509711969792,RS_region_onsets
GPi1,150809.27232,150842.20416,32.93184000000474,150822.87104,150871.69536,48.82432000001427,3,4.0653071488974,RS_region_onsets
GPi1,171578.53184,171590.20544,11.67359999998007,171587.33824,171977.85088,390.51264000000083,3,5.684093493449636,RS_region_onsets
GPi1,180564.62336,181027.96288,463.33952000000863,180740.79232,180784.128,43.335679999989225,9,5.466995761764437,RS_region_onsets
GPi1,182812.42624,182846.99648,34.57024000000092,182825.90208,182875.05408,49.15200000000186,3,3.9643240161076765,RS_region_onsets
GPi1,183353.46688,183497.60512,144.13824000000022,183417.89696,183590.66624,172.7692799999786,5,4.72344680062449,RS_region_onsets
GPi1,191960.22784,192044.89216,84.66431999998167,191997.82912,192150.07744,152.24831999998423,5,6.345980971650729,RS_region_onsets
GPi1,196595.87584,196666.08128,70.20544000001973,196644.33152,196676.73088,32.39935999998124,4,4.8759633049101225,RS_region_onsets
GPi1,201940.13184,202028.4416,88.30976000000373,201969.17248,201992.25344,23.080959999992047,4,4.1661914561366125,RS_region_onsets
GPi1,211292.44672,211353.10848,60.661759999988135,211334.73791999999,211569.3568,234.61888000002364,4,5.182269764713109,RS_region_onsets
GPi1,213389.7216,213482.33216,92.61056000000099,213415.05536,213587.68128000002,172.62592000002041,4,4.1241486979252215,RS_region_onsets
GPi1,214217.9328,214760.32512,542.3923199999845,214481.05984,214758.52288,277.46304000000237,13,9.967925910303343,RS_region_onsets
GPi1,228011.90912,228621.68064,609.7715200000093,228368.384,228598.04672,229.6627200000221,11,5.942902147229215,RS_region_onsets
GPi1,229644.36992,229652.39808,8.028160000016214,229645.43488,230139.78112,494.3462400000135,3,6.363704707324382,RS_region_onsets
GPi1,245146.50112,245311.73376,165.232640000002,245224.2432,245465.82528,241.58207999999286,5,4.020013918421121,RS_region_onsets
GPi1,252912.96768,253239.66464,326.6969600000011,253036.01152,253394.3296,358.3180799999973,7,4.300527772401973,RS_region_onsets
GPi1,255215.2064,255477.18656,261.98016000000644,255406.55104,255673.77408,267.2230400000117,6,4.477525726078025,RS_region_onsets
GPi1,258625.24928,259843.31776,1218.0684800000163,259315.9168,259407.58528,91.668479999993,15,4.385733426404865,RS_region_onsets
GPi1,265158.2464,265406.464,248.21759999997448,265344.45056,265550.06976,205.61919999995735,7,5.907076531800731,RS_region_onsets
GPi1,269934.10048,270536.17152,602.0710399999516,270199.50080000004,270507.82720000006,308.32640000001993,12,7.946220128023879,RS_region_onsets
GPi1,272254.1568,272261.36576,7.2089600000181235,272261.3248,272335.21664,73.89183999999659,3,6.594416798847925,RS_region_onsets
GPi1,282520.69888,282874.38848,353.68960000004154,282723.96288,282823.24992,99.28703999996651,8,5.4765730010002605,RS_region_onsets
GPi1,284611.95264,284628.7872,16.834560000046622,284620.96384,284716.19584,95.23200000001816,3,5.21247974309699,RS_region_onsets
GPi1,288910.99136,288934.83008,23.83871999999974,288924.13952,289354.87488,430.7353599999915,3,4.612106315734351,RS_region_onsets
GPi1,290991.02208,291021.49632,30.47423999995226,290992.57856,291044.59776,52.01919999998063,3,4.273016688621814,RS_region_onsets
GPi1,301273.57952,305468.70272,4195.123199999973,303678.95552,304155.56608,476.610560000001,43,6.797058297285196,RS_region_onsets
GPi1,320173.83424,320275.2512,101.41696000000229,320233.59488,320332.73855999997,99.14367999997921,6,7.95400624637616,RS_region_onsets
GPi1,337154.29376,337213.48096,59.18720000004396,337192.3456,337309.10208,116.75647999998182,4,5.2466039832214015,RS_region_onsets
GPi1,359194.66496,359249.63328,54.9683199999854,359222.9888,359320.064,97.07520000002114,4,5.406879718732693,RS_region_onsets
GPi1,359900.16,360724.19328,824.0332800000324,360311.93088,360897.69984,585.7689600000158,15,8.174605545634904,RS_region_onsets
GPi1,361358.5408,362707.7632,1349.2223999999696,362021.39648,362134.3232,112.92671999998856,17,4.787834478169129,RS_region_onsets
GPi1,366435.57376,366586.4704,150.89663999999175,366501.51936,366586.51136,84.99200000002747,5,4.329392200481422,RS_region_onsets
GPi1,370689.10592,370706.8416,17.735679999983404,370702.5408,370837.2992,134.75839999999152,3,5.135216560799064,RS_region_onsets
GPi1,383499.96032,383922.29888,422.3385600000038,383786.10688,384215.77728,429.6704000000027,11,8.908111059275772,RS_region_onsets
GPi1,389303.58272,389454.97088,151.38815999997314,389367.99231999996,389499.392,131.39968000003137,6,6.143594407058849,RS_region_onsets
GPi1,394065.05984,394169.87648,104.81663999997545,394085.25312,394363.74016,278.48703999997815,5,5.914264178314724,RS_region_onsets
GPi1,397561.856,397589.504,27.647999999986496,397581.39392,397681.00864,99.61472000001231,3,4.385564183516587,RS_region_onsets
GPi1,420439.08096,420451.49184,12.410879999981262,420443.21792,420509.16352,65.94559999997728,3,5.673043657263049,RS_region_onsets
GPi1,422827.95008,423116.43136,288.48128000000725,422994.61632,423079.19872,84.58240000001388,7,5.029565110394724,RS_region_onsets
GPi1,442986.61888,443289.14944,302.5305599999847,443141.81632,443250.36032,108.54399999999441,7,4.593088669163227,RS_region_onsets
GPi2,23351.99232,23546.2656,194.2732799999976,23498.60864,23812.5056,313.89696000000185,6,5.976088654519145,RS_region_onsets
GPi2,41956.27008,41969.29536,13.025279999994382,41969.29536,41997.39392,28.09856000000582,3,4.5992610387208455,RS_region_onsets
GPi2,60145.90976,61238.84544,1092.935679999995,60611.9936,60640.95232,28.958719999995083,9,5.14835834185221,RS_region_onsets
