Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi1,4670.30016,4681.60512,11.304960000000392,4673.1264,4742.22592,69.09951999999976,3,5.9413747221772155,RS_region_onsets
GPi1,10316.63616,10336.62464,19.98847999999998,10316.63616,10342.68672,26.050559999999678,3,5.61366556108452,RS_region_onsets
GPi1,18163.13856,18182.30784,19.16928000000189,18170.14272,18248.9088,78.76608000000124,3,5.2298015596709035,RS_region_onsets
GPi1,31114.97728,31198.57664,83.59936000000016,31143.71072,31412.8384,269.1276800000014,4,5.328049151149219,RS_region_onsets
GPi1,100046.6432,100066.63168,19.98847999999998,100066.54976,100374.36416,307.81440000000293,3,5.340941770067705,RS_region_onsets
GPi1,113419.59168,113624.84224,205.2505600000004,113550.17216,113689.47712,139.30495999999403,5,4.928020753084709,RS_region_onsets
GPi1,132031.56992,132036.93568,5.3657599999860395,132031.73376,132594.85184,563.1180799999856,3,6.611955128124762,RS_region_onsets
GPi1,149067.69408,149103.04256,35.348480000015115,149073.7152,149291.95008,218.2348800000036,3,4.558043326187983,RS_region_onsets
GPi1,199471.5136,199615.85664,144.34304000000702,199530.74176,199791.8208,261.07903999998234,5,5.880691608649407,RS_region_onsets
GPi1,213963.9808,214007.52128,43.54047999999602,213982.45376,214100.45952,118.00576000000001,3,4.170255086056585,RS_region_onsets
GPi1,216155.99616,217298.65728,1142.6611200000043,216644.3008,217058.61119999998,414.31039999998757,14,8.290850671636937,RS_region_onsets
GPi1,218898.51392,219128.91392,230.39999999999418,219066.32704,219159.18336,92.85631999999168,5,4.537218706074121,RS_region_onsets
GPi1,224803.88096,225090.64192,286.76095999998506,225014.25152,225185.792,171.54047999999602,5,4.219000934199631,RS_region_onsets
GPi1,243736.24832,243780.68992,44.44159999999101,243765.90336,243832.46336,66.55999999999767,3,4.184997189795277,RS_region_onsets
GPi1,247157.3504,247161.89696,4.5465600000170525,247157.3504,248080.30208,922.9516799999983,3,7.206791376441144,RS_region_onsets
GPi1,254967.1936,256026.99264,1059.7990400000126,255561.44128000003,255847.75168,286.31039999995846,10,5.096489779333428,RS_region_onsets
GPi1,277260.32896,277780.93056,520.6015999999945,277512.27391999995,277807.14496,294.8710400000564,8,5.608824258568613,RS_region_onsets
GPi1,278517.80096,279008.74752,490.946559999953,278788.52608,278880.95232000004,92.4262400000589,6,3.9264736835320364,RS_region_onsets
GPi1,288208.81408,288252.68224,43.86816000001272,288246.45632,288284.34432,37.88799999997718,3,4.219823994329246,RS_region_onsets
GPi1,325862.85056,326058.55744,195.70688000001246,325917.04064,326095.13472,178.09407999995165,5,5.044323806191926,RS_region_onsets
GPi1,326656.49152,326856.94976,200.4582400000072,326745.45664,326846.01344,100.5568000000203,5,4.727848929192827,RS_region_onsets
GPi1,329529.05728,330433.20832,904.1510399999679,330210.38592,330463.15008,252.76416000002064,9,4.869401319030885,RS_region_onsets
GPi1,341632.8192,341678.61248,45.7932799999835,341668.33152,341818.44992,150.11839999997756,3,4.1410929224475375,RS_region_onsets
