Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi1,34567.90528,34594.4064,26.50112000000081,34591.3344,34765.70112,174.36671999999817,3,4.388333996643961,RS_region_onsets
GPi1,43156.60288,43794.59584,637.9929600000032,43427.90144,43602.57536,174.6739200000011,10,4.934336099127105,RS_region_onsets
GPi1,75058.74944,75340.10368,281.3542400000006,75235.49184,75340.14464,104.6527999999962,7,4.946409946853765,RS_region_onsets
GPi1,84741.24288,84901.10976,159.8668800000014,84780.11392,84940.55424,160.44031999999424,5,4.28800755534721,RS_region_onsets
GPi1,92298.73152,92360.62208,61.89055999999982,92331.33567999999,92411.20768,79.87200000001758,4,4.828612968084595,RS_region_onsets
GPi1,103232.14336,103474.01216,241.86879999999655,103300.83327999999,103359.0784,58.245120000006864,6,4.594871293956959,RS_region_onsets
GPi1,122724.9664,123004.64128,279.6748799999914,122813.48096,123002.55232,189.07136000000173,7,5.290912888157778,RS_region_onsets
GPi1,129479.31136,129784.58624,305.2748799999972,129676.94336,129797.7344,120.79103999999643,7,4.341440110618715,RS_region_onsets
GPi1,130400.62464,130427.45344,26.828800000002957,130412.544,130434.70336,22.15936000000511,3,4.291063133068235,RS_region_onsets
GPi1,138795.13088,138839.16288,44.031999999977415,138819.29728,139004.37504,185.07776000001468,4,5.787148622269736,RS_region_onsets
GPi1,151435.75552,151500.47232,64.71679999999469,151461.21216,151662.44864000002,201.2364800000214,4,4.758939568899624,RS_region_onsets
GPi1,156681.54368,156699.0336,17.489919999992708,156684.57472,156773.29408,88.71935999998823,3,5.111304262047925,RS_region_onsets
GPi1,158314.33216,158496.84992,182.517760000017,158430.49472,158575.90272,145.4080000000249,5,3.9976976701683817,RS_region_onsets
GPi1,160651.71456,160670.55616,18.841600000014296,160662.44608,160796.99968,134.55360000001383,3,4.996468835828626,RS_region_onsets
GPi1,168264.4992,168308.40832,43.90911999999662,168286.84288,168390.43072,103.58783999999287,4,6.119228315896418,RS_region_onsets
GPi1,176022.65088,176214.05696,191.4060799999861,176129.39264,176340.11135999998,210.7187199999753,6,5.322270435304553,RS_region_onsets
GPi1,217354.93632,217611.0592,256.1228799999808,217487.19616,217667.09248,179.89631999999983,9,8.214659638872645,RS_region_onsets
GPi1,233540.1984,233854.07488,313.87648000000627,233750.07744,233866.4448,116.36736000000383,7,4.452618624359673,RS_region_onsets
GPi1,237219.14368,237625.58976,406.44607999999425,237509.59104,237567.3856,57.79456000000937,9,5.62463582415356,RS_region_onsets
GPi1,247292.76416,247375.74912,82.98496000000159,247343.37024000002,247428.07552,84.70527999999467,4,4.094471393471778,RS_region_onsets
GPi1,248196.17792,249121.25952,925.081600000005,248516.11648,248985.43616,469.31968000001507,17,9.00400877625685,RS_region_onsets
GPi1,263109.87776,263111.8848,2.0070399999967776,263110.81984,263721.65632,610.8364799999981,3,9.254845409904105,RS_region_onsets
GPi1,271477.47328,271499.50976,22.03648000000976,271498.0352,271995.24864,497.21344000002136,3,4.748216226969735,RS_region_onsets
GPi1,273071.3088,273505.40288,434.09408000000985,273169.53088,273735.2704,565.7395200000028,9,6.179359229352826,RS_region_onsets
GPi1,274975.58016,275310.1824,334.60223999997834,275126.55872,275407.21664,280.65792000002693,7,4.55020335978701,RS_region_onsets
GPi1,276186.35776,276283.35104,96.99327999999514,276228.4032,276375.59296000004,147.1897600000375,4,4.188649565780665,RS_region_onsets
GPi1,276933.14048,277785.96864,852.8281599999755,277360.7424,277620.08064,259.33824000001187,12,5.548587029074135,RS_region_onsets
GPi1,309074.20672,309596.89728,522.6905599999591,309375.67232,309508.3008,132.62848000001395,9,4.2675835290566555,RS_region_onsets
GPi1,312378.81856,312506.44992,127.6313599999994,312439.33696,312712.41728,273.0803200000082,6,6.6535142024697365,RS_region_onsets
GPi1,335264.07168,335488.6144,224.54272000002675,335358.60736,335542.96832,184.36095999996178,9,9.004093312017803,RS_region_onsets
GPi1,337820.59008,338212.08576,391.4956799999927,338017.64864,338228.10112,210.4524799999781,9,6.17315657946385,RS_region_onsets
GPi1,342703.02208,342705.19296,2.170879999990575,342704.9472,342799.93344,94.98623999999836,3,8.7357612985888,RS_region_onsets
GPi1,347099.21792,347482.76736,383.5494399999734,347157.54496,347463.80288,306.25791999994544,11,10.033076998319416,RS_region_onsets
GPi1,355232.19456,355256.81152,24.616960000013933,355246.592,355391.46752,144.87552000000142,4,7.41024628446236,RS_region_onsets
GPi1,356102.26688,356126.80192,24.53503999998793,356126.22848,356209.58208,83.35360000003129,3,4.5696587830039554,RS_region_onsets
GPi1,359322.86976,360729.3952,1406.5254400000558,359793.21344,360278.09792,484.8844799999497,21,8.668688695563723,RS_region_onsets
GPi1,378166.96832,378188.8,21.83168000000296,378187.5712,378276.12672,88.55551999999443,3,4.758619388953978,RS_region_onsets
GPi1,380677.5296,381535.35488,857.82527999999,381132.39040000003,381483.41760000004,351.02720000001136,14,6.078734694813477,RS_region_onsets
