Electrode,Cluster,Spike_ms,IsBurst,BurstIndex
microGPi1_L_1_CommonFiltered,0,46865.8176,False,-1
microGPi1_L_1_CommonFiltered,0,47104.73728,False,-1
microGPi1_L_1_CommonFiltered,0,47127.42912,False,-1
microGPi1_L_1_CommonFiltered,0,47526.95296,False,-1
microGPi1_L_1_CommonFiltered,0,47923.24096,False,-1
microGPi1_L_1_CommonFiltered,0,48379.86304,False,-1
microGPi1_L_1_CommonFiltered,0,50139.66848,False,-1
microGPi1_L_1_CommonFiltered,0,50535.87456,False,-1
microGPi1_L_1_CommonFiltered,0,51513.5488,False,-1
microGPi1_L_1_CommonFiltered,0,52156.6208,False,-1
microGPi1_L_1_CommonFiltered,0,52301.0048,False,-1
microGPi1_L_1_CommonFiltered,0,52440.064,False,-1
microGPi1_L_1_CommonFiltered,0,54288.87552,False,-1
microGPi1_L_1_CommonFiltered,0,54567.97696,False,-1
microGPi1_L_1_CommonFiltered,0,55058.30912,False,-1
microGPi1_L_1_CommonFiltered,0,55111.68,False,-1
microGPi1_L_1_CommonFiltered,0,55220.30592,False,-1
microGPi1_L_1_CommonFiltered,0,55580.2624,False,-1
microGPi1_L_1_CommonFiltered,0,56711.61856,False,-1
microGPi1_L_1_CommonFiltered,0,56745.28768,False,-1
microGPi1_L_1_CommonFiltered,0,56770.31424,False,-1
microGPi1_L_1_CommonFiltered,0,57125.02784,False,-1
microGPi1_L_1_CommonFiltered,0,57530.94144,False,-1
microGPi1_L_1_CommonFiltered,0,57733.20192,False,-1
microGPi1_L_1_CommonFiltered,0,57964.70784,False,-1
microGPi1_L_1_CommonFiltered,0,57990.18496,False,-1
microGPi1_L_1_CommonFiltered,0,58280.83712,False,-1
microGPi1_L_1_CommonFiltered,0,59221.36064,False,-1
microGPi1_L_1_CommonFiltered,0,59287.38816,False,-1
microGPi1_L_1_CommonFiltered,0,59858.944,False,-1
microGPi1_L_1_CommonFiltered,0,60201.69728,False,-1
microGPi1_L_1_CommonFiltered,0,60456.38656,False,-1
microGPi1_L_1_CommonFiltered,0,60727.99232,False,-1
microGPi1_L_1_CommonFiltered,0,61081.96864,False,-1
microGPi1_L_1_CommonFiltered,0,62214.30784,False,-1
microGPi1_L_1_CommonFiltered,0,62657.78176,False,-1
microGPi1_L_1_CommonFiltered,0,62866.30912,False,-1
microGPi1_L_1_CommonFiltered,0,63312.24064,False,-1
microGPi1_L_1_CommonFiltered,0,63529.7792,False,-1
microGPi1_L_1_CommonFiltered,0,63725.85472,False,-1
microGPi1_L_1_CommonFiltered,0,64592.19968,False,-1
microGPi1_L_1_CommonFiltered,0,64983.12192,False,-1
microGPi1_L_1_CommonFiltered,0,66457.31328,False,-1
microGPi1_L_1_CommonFiltered,0,67547.17696,False,-1
microGPi1_L_1_CommonFiltered,0,69211.25888,False,-1
microGPi1_L_1_CommonFiltered,0,70071.58272,False,-1
microGPi1_L_1_CommonFiltered,0,73694.86336,False,-1
microGPi1_L_1_CommonFiltered,0,74057.15456,False,-1
microGPi1_L_1_CommonFiltered,0,74462.78144,False,-1
microGPi1_L_1_CommonFiltered,0,75920.62976,False,-1
microGPi1_L_1_CommonFiltered,0,76009.63584,False,-1
microGPi1_L_1_CommonFiltered,0,77382.656,False,-1
microGPi1_L_1_CommonFiltered,0,78330.75712,False,-1
microGPi1_L_1_CommonFiltered,0,78738.67776,False,-1
microGPi1_L_1_CommonFiltered,0,78872.49408,False,-1
microGPi1_L_1_CommonFiltered,0,79320.92416,False,-1
microGPi1_L_1_CommonFiltered,0,79808.59392,False,-1
microGPi1_L_1_CommonFiltered,0,80006.5536,False,-1
microGPi1_L_1_CommonFiltered,0,80405.58592,False,-1
microGPi1_L_1_CommonFiltered,0,80869.86752,False,-1
microGPi1_L_1_CommonFiltered,0,81233.1008,False,-1
microGPi1_L_1_CommonFiltered,0,81722.61376,False,-1
microGPi1_L_1_CommonFiltered,0,82886.53312,False,-1
microGPi1_L_1_CommonFiltered,0,83912.66304,False,-1
microGPi1_L_1_CommonFiltered,0,84940.71808,False,-1
microGPi1_L_1_CommonFiltered,0,85025.30048,False,-1
microGPi1_L_1_CommonFiltered,0,85397.46304,False,-1
microGPi1_L_1_CommonFiltered,0,86392.09472,False,-1
microGPi1_L_1_CommonFiltered,0,87519.92832,False,-1
microGPi1_L_1_CommonFiltered,0,88838.22592,False,-1
microGPi1_L_1_CommonFiltered,0,89074.03264,False,-1
microGPi1_L_1_CommonFiltered,0,89274.90048,False,-1
microGPi1_L_1_CommonFiltered,0,90395.0336,False,-1
microGPi1_L_1_CommonFiltered,0,90917.76512,False,-1
microGPi1_L_1_CommonFiltered,0,91410.67776,False,-1
microGPi1_L_1_CommonFiltered,0,91632.14848,False,-1
microGPi1_L_1_CommonFiltered,0,92213.94432,False,-1
microGPi1_L_1_CommonFiltered,0,92868.97664,False,-1
microGPi1_L_1_CommonFiltered,0,93275.50464,False,-1
microGPi1_L_1_CommonFiltered,0,94977.2288,False,-1
microGPi1_L_1_CommonFiltered,0,95513.8048,False,-1
microGPi1_L_1_CommonFiltered,0,95930.20416,False,-1
microGPi1_L_1_CommonFiltered,0,97236.13184,False,-1
microGPi1_L_1_CommonFiltered,0,97511.75168,False,-1
microGPi1_L_1_CommonFiltered,0,99021.33248,False,-1
microGPi1_L_1_CommonFiltered,0,99497.32864,False,-1
microGPi1_L_1_CommonFiltered,0,100219.41248,False,-1
microGPi1_L_1_CommonFiltered,0,101976.10496,False,-1
microGPi1_L_1_CommonFiltered,0,102781.91104,False,-1
