Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
30746.74688,30763.4176,16.670720000001893,6,7.119869869674311,RS_network_onsets
58061.74208,58109.87008,48.12799999999697,8,5.533434158027316,RS_network_onsets
69333.07392,69342.08512,9.011200000008103,4,4.7581744534588815,RS_network_onsets
104003.74784,104255.97952,252.23167999999714,24,9.159071218257353,RS_network_onsets
105143.82848,105145.01632,1.1878399999986868,3,4.841307508953994,RS_network_onsets
114067.08736,114067.41504,0.3276800000021467,3,5.937752463714411,RS_network_onsets
171150.336,171150.9504,0.6143999999912921,3,6.002276054019065,RS_network_onsets
172919.31648,172919.43936,0.12287999998079613,3,6.440399603232393,RS_network_onsets
180151.9104,180157.6448,5.734400000015739,4,5.35262240753946,RS_network_onsets
209715.4048,209715.77344,0.36864000000059605,3,5.402458216607501,RS_network_onsets
220027.12576,220183.87968,156.7539200000174,22,13.470458810805354,RS_network_onsets
251217.26464,251217.38752,0.12287999998079613,3,6.258448348238634,RS_network_onsets
251817.24672,251817.28768,0.04096000001300126,4,9.489014351801625,RS_network_onsets
268670.89408,268673.8432,2.9491200000047684,4,6.692437603861087,RS_network_onsets
307593.74848,308280.77056,687.0220799999661,50,10.13506962899203,RS_network_onsets
311611.02336,311669.26848,58.24512000003597,9,5.841957026355616,RS_network_onsets
332180.39808,332642.42688,462.02879999997094,44,14.593610133920723,RS_network_onsets
332881.7152,332882.61632,0.9011199999949895,3,5.895864967613736,RS_network_onsets
343193.64096,343413.5552,219.9142400000128,22,7.978981974391022,RS_network_onsets
355717.57056,355751.07584,33.50527999998303,7,5.667589196682437,RS_network_onsets
391606.84544,391683.31776,76.47232000000076,13,9.153128830016664,RS_network_onsets
404994.62144,405108.16256,113.54112000000896,13,6.27422417982218,RS_network_onsets
405542.2976,405586.16576,43.86816000001272,9,6.940415760746462,RS_network_onsets
