Electrode,Cluster,Start_ms,End_ms,Duration_ms,Num_Spikes,RS,Method
microGPi1_L_1_CommonFiltered,0,19176.32512,19326.52544,150.20031999999992,5,4.220982084327922,RankSurprise
microGPi1_L_1_CommonFiltered,0,29939.67104,29967.64672,27.975679999999556,3,4.584452167517206,RankSurprise
microGPi1_L_1_CommonFiltered,0,32851.27168,32874.04544,22.773760000003676,3,5.1417517992347985,RankSurprise
microGPi1_L_1_CommonFiltered,0,34400.70656,34817.47456,416.76800000000367,10,6.166227251848089,RankSurprise
microGPi1_L_1_CommonFiltered,0,48932.6592,48979.5584,46.89919999999984,4,5.769504834325545,RankSurprise
microGPi1_L_1_CommonFiltered,0,54052.78208,54079.8976,27.11551999999938,3,4.635925770788232,RankSurprise
microGPi1_L_1_CommonFiltered,0,60492.96384,60499.39456,6.43072000000393,3,8.469183030657344,RankSurprise
microGPi1_L_1_CommonFiltered,0,61013.48352,61054.48448,41.000959999997576,3,3.5832295139086288,RankSurprise
microGPi1_L_1_CommonFiltered,0,66899.51744,66994.13504,94.61759999999776,6,8.279234180895074,RankSurprise
microGPi1_L_1_CommonFiltered,0,68662.96832,68687.13472,24.166400000001886,3,4.993877676841468,RankSurprise
microGPi1_L_1_CommonFiltered,0,73460.89984,73768.22272,307.322880000007,12,11.688189896477558,RankSurprise
microGPi1_L_1_CommonFiltered,0,74503.90528,74976.54272,472.63743999999133,9,4.809428382441192,RankSurprise
microGPi1_L_1_CommonFiltered,0,75382.53824,75394.49856,11.96032000001287,3,6.996064275840075,RankSurprise
microGPi1_L_1_CommonFiltered,0,88461.35296,88692.77696,231.42399999999907,8,7.345195793713672,RankSurprise
microGPi1_L_1_CommonFiltered,0,89389.6704,89548.51328,158.8428799999965,5,4.117321741002243,RankSurprise
microGPi1_L_1_CommonFiltered,0,93658.7264,93692.88704,34.16064000000188,3,4.0577687560119475,RankSurprise
microGPi1_L_1_CommonFiltered,0,94577.0496,95978.65984,1401.6102399999945,21,5.336905756274737,RankSurprise
microGPi1_L_1_CommonFiltered,0,97728.67584,98180.21888,451.5430400000041,11,7.1585838027587245,RankSurprise
microGPi1_L_1_CommonFiltered,0,100858.22464,100971.68384,113.45919999999751,6,7.1791802981498805,RankSurprise
microGPi1_L_1_CommonFiltered,0,102492.69248,102510.71488,18.022400000001653,3,5.386332548213618,RankSurprise
microGPi1_L_1_CommonFiltered,0,104371.93728,104775.2704,403.3331199999957,12,9.220944427347932,RankSurprise
microGPi1_L_1_CommonFiltered,0,117350.6048,117444.36224,93.75744000000122,4,4.165235076886777,RankSurprise
microGPi1_L_1_CommonFiltered,0,129874.944,130710.40512,835.4611199999927,18,10.138852353170327,RankSurprise
microGPi1_L_1_CommonFiltered,0,132088.05376,132315.05408,227.00031999999192,7,5.296976131023967,RankSurprise
microGPi1_L_1_CommonFiltered,0,135920.96768,136016.2816,95.31391999998596,4,3.7582115547973594,RankSurprise
microGPi1_L_1_CommonFiltered,0,142977.76128,143004.63104,26.869760000001406,3,4.735183141262938,RankSurprise
microGPi1_L_1_CommonFiltered,0,150768.80384,150814.67904,45.875199999980396,3,3.5268265773143828,RankSurprise
microGPi1_L_1_CommonFiltered,0,154951.92576,154960.24064,8.314879999990808,3,7.825306899104182,RankSurprise
microGPi1_L_1_CommonFiltered,0,158458.55232,158505.65632,47.10400000002119,4,5.913532876328919,RankSurprise
microGPi1_L_1_CommonFiltered,0,159492.21888,159725.07648,232.85759999998845,7,5.202372617552034,RankSurprise
microGPi1_L_1_CommonFiltered,0,173706.32192,174376.7552,670.4332800000266,17,12.312571640932582,RankSurprise
microGPi1_L_1_CommonFiltered,0,178382.76608,178542.46912,159.70303999999305,7,7.540836804259477,RankSurprise
microGPi1_L_1_CommonFiltered,0,180358.5536,180983.23456,624.6809599999979,9,3.8596964907977025,RankSurprise
microGPi1_L_1_CommonFiltered,0,186762.89536,186890.40384,127.50848000001861,5,4.716253204414823,RankSurprise
microGPi1_L_1_CommonFiltered,0,191772.59008,191922.46272,149.87264000001596,5,4.106840235769269,RankSurprise
microGPi1_L_1_CommonFiltered,0,192305.07008,192400.09728,95.02719999998226,5,5.882759748914953,RankSurprise
microGPi1_L_1_CommonFiltered,0,193236.21376,193630.49472,394.2809599999746,9,5.2775505963253115,RankSurprise
microGPi1_L_1_CommonFiltered,0,194663.09632,194816.32768,153.23135999997612,5,3.9578662801902453,RankSurprise
microGPi1_L_1_CommonFiltered,0,195254.10816,195471.48288,217.37471999999252,6,3.9713977203739725,RankSurprise
microGPi1_L_1_CommonFiltered,0,197225.84064,198260.77696,1034.9363199999789,19,8.519013349648805,RankSurprise
microGPi1_L_1_CommonFiltered,0,201952.13312,202104.13568,152.00255999999354,6,6.059278926623712,RankSurprise
microGPi1_L_1_CommonFiltered,0,214674.6368,214718.21824,43.58143999997992,3,3.5788339024355906,RankSurprise
microGPi1_L_1_CommonFiltered,0,218215.54688,218311.10656,95.55967999997665,4,3.695925539859587,RankSurprise
microGPi1_L_1_CommonFiltered,0,218739.9168,218840.96512,101.0483200000017,5,5.561490342370508,RankSurprise
microGPi1_L_1_CommonFiltered,0,220277.1456,220812.98432,535.8387199999997,10,4.679976221090776,RankSurprise
microGPi1_L_1_CommonFiltered,0,226989.58848,227124.55168,134.96319999999832,5,4.534539034093143,RankSurprise
microGPi1_L_1_CommonFiltered,0,239377.65376,239870.44352,492.7897600000142,10,4.690494164034179,RankSurprise
microGPi1_L_1_CommonFiltered,0,242680.4224,244497.85856,1817.436159999983,29,10.279685203690953,RankSurprise
microGPi1_L_1_CommonFiltered,0,254051.7376,254097.2032,45.4655999999959,4,6.097329011081655,RankSurprise
