Region,Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
GPi,19005.80864,19968.98304,963.1743999999999,22,8.905721852210648,RS_region_onsets
GPi,30746.74688,30848.57344,101.82656000000134,6,5.809464498927646,RS_region_onsets
GPi,52362.60864,52492.98432,130.37568000000465,6,4.2632039624176326,RS_region_onsets
GPi,58079.8464,58104.91392,25.067519999996875,4,5.699485490518281,RS_region_onsets
GPi,61841.77664,62216.51968,374.7430400000012,14,8.100740728685619,RS_region_onsets
GPi,63827.3536,63833.7024,6.3487999999997555,3,5.647531617267463,RS_region_onsets
GPi,67378.54464,67787.73504,409.1904000000068,11,4.290474279936408,RS_region_onsets
GPi,69333.07392,69342.08512,9.011200000008103,4,8.107129490657869,RS_region_onsets
GPi,71089.88928,71427.80928,337.91999999999825,12,7.0602324311900935,RS_region_onsets
GPi,72067.11296,72103.19872,36.085760000001756,6,9.312055796621486,RS_region_onsets
GPi,72403.47648,72408.55552,5.079039999996894,3,5.759630441393744,RS_region_onsets
GPi,79606.74304,79657.41056,50.667520000002696,4,3.9612726345982487,RS_region_onsets
GPi,81843.07712,82067.49696,224.4198400000023,8,4.570601692823489,RS_region_onsets
GPi,82998.10816,83667.39456,669.2863999999972,15,6.123166202251913,RS_region_onsets
GPi,97271.43936,97280.04096,8.601599999994505,3,5.0753126862129925,RS_region_onsets
GPi,97845.00224,97862.98368,17.981440000003204,3,4.026133587290783,RS_region_onsets
GPi,99109.23264,99197.70624,88.47359999999753,5,4.099783818996972,RS_region_onsets
GPi,102311.5264,102569.49248,257.9660799999983,8,4.036954669543174,RS_region_onsets
GPi,103986.33984,104255.97952,269.63967999999295,19,20.90798085550493,RS_region_onsets
GPi,104576.36864,104594.26816,17.899520000006305,3,4.011277424465648,RS_region_onsets
GPi,105143.82848,105145.01632,1.1878399999986868,3,6.705863529882977,RS_region_onsets
GPi,114067.08736,114096.00512,28.917759999996633,5,7.826155731427114,RS_region_onsets
