Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
37310.83264,37312.512,1.6793600000019069,4,9.680879904097228,RS_network_onsets
52243.90656,52308.04992,64.14335999999457,8,5.881958345936387,RS_network_onsets
63791.47264,63806.01344,14.540800000002491,4,4.754060274035876,RS_network_onsets
66897.55136,66899.51744,1.9660799999983283,3,6.0376241232132255,RS_network_onsets
95424.14336,95425.24928,1.1059200000017881,3,7.135310914360393,RS_network_onsets
122834.944,122837.03296,2.0889599999936763,3,5.917101359815723,RS_network_onsets
197225.84064,197230.46912,4.628479999984847,3,4.720818788390764,RS_network_onsets
203025.65376,203026.88256,1.228800000011688,3,6.5438308011229225,RS_network_onsets
219938.4064,219962.368,23.961599999980535,5,5.258731555265097,RS_network_onsets
253969.36704,254110.26944,140.90239999999176,11,5.754941308152156,RS_network_onsets
307936.91136,308097.96608,161.05471999995643,18,12.178133517164067,RS_network_onsets
309498.2656,309509.81632,11.550719999999274,4,5.1526817342978966,RS_network_onsets
330337.4848,330370.53952,33.05472000001464,6,5.844547782346609,RS_network_onsets
331997.75744,332520.93952,523.1820799999987,41,16.884080797990503,RS_network_onsets
351920.00512,351958.2208,38.215680000022985,6,5.226846708064805,RS_network_onsets
355659.93984,355841.92512,181.9852800000226,14,6.014142405394784,RS_network_onsets
356160.96256,356176.65024,15.687679999973625,5,6.517776924121769,RS_network_onsets
358232.84224,358242.42688,9.58463999995729,4,5.640241182668063,RS_network_onsets
405772.94336,405787.97568,15.032319999998435,5,6.882042816699386,RS_network_onsets
406185.08288,406189.62944,4.546559999987949,3,4.695259074184273,RS_network_onsets
408772.44416,408808.48896,36.0447999999742,6,5.5063033822217875,RS_network_onsets
