Region,Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
GPi,1750.6304,1876.5824,125.952,6,5.133777365738034,RS_region_onsets
GPi,4147.36384,4163.70688,16.343039999999746,3,4.4787812032743535,RS_region_onsets
GPi,11942.17472,12056.04352,113.86879999999837,6,5.4739331929527,RS_region_onsets
GPi,19622.99392,19664.6912,41.69728000000032,4,4.959502753644006,RS_region_onsets
GPi,28554.07616,28576.64512,22.568960000000516,3,4.083695610299552,RS_region_onsets
GPi,34321.12128,34412.7488,91.62752000000182,5,4.604754303386574,RS_region_onsets
GPi,37310.83264,37312.512,1.6793600000019069,4,11.510102764338303,RS_region_onsets
GPi,43036.2624,43286.81472,250.5523200000025,9,5.776015351344961,RS_region_onsets
GPi,52259.06176,52308.04992,48.98816000000079,4,4.50480295032931,RS_region_onsets
GPi,54703.84128,54719.56992,15.728640000001178,3,4.56913548037897,RS_region_onsets
GPi,61641.3184,62815.27296,1173.9545600000056,20,4.530479473668021,RS_region_onsets
GPi,66897.55136,66899.51744,1.9660799999983283,3,7.532888378910762,RS_region_onsets
GPi,72089.84576,72103.69024,13.844479999999749,3,4.855732737285729,RS_region_onsets
GPi,74185.76896,74218.2912,32.522240000005695,4,5.63611586082547,RS_region_onsets
GPi,95424.14336,95425.24928,1.1059200000017881,3,8.196843753369905,RS_region_onsets
GPi,99096.20736,99105.5872,9.379839999994147,3,5.550127337518122,RS_region_onsets
GPi,103797.22752,104371.93728,574.7097599999979,13,5.541544019028347,RS_region_onsets
GPi,104752.41472,104785.3056,32.89088000000629,4,5.572872338814278,RS_region_onsets
GPi,110123.04896,110189.60896,66.55999999999767,5,5.624221549532358,RS_region_onsets
GPi,114522.97216,114928.2304,405.25823999999557,13,8.007958880743104,RS_region_onsets
GPi,122834.944,122837.03296,2.0889599999936763,3,7.510415523058704,RS_region_onsets
GPi,128856.8832,129218.23232,361.34911999999895,8,3.980566526427221,RS_region_onsets
GPi,129865.15456,129958.66624,93.51168000001053,6,6.237623767680169,RS_region_onsets
GPi,154595.61472,154743.808,148.19327999997768,6,4.451537565430707,RS_region_onsets
GPi,154946.31424,154953.85088,7.536640000005718,3,5.644565916685265,RS_region_onsets
GPi,155870.90432,156051.94752,181.04319999998552,7,5.447703855774369,RS_region_onsets
GPi,163126.72256,163149.53728,22.81471999999485,3,3.9854439334851026,RS_region_onsets
GPi,169694.12608,169941.07392,246.947840000008,8,5.511758363278685,RS_region_onsets
GPi,171105.0752,171111.424,6.3488000000070315,3,5.907239371848581,RS_region_onsets
GPi,173224.5504,173706.32192,481.7715199999802,12,5.713398247458184,RS_region_onsets
GPi,177930.69056,177956.864,26.173440000013215,4,6.230592787824374,RS_region_onsets
GPi,186762.89536,186860.05248,97.15712000001804,5,4.313531489913689,RS_region_onsets
GPi,195183.04256,195254.10816,71.06560000000172,5,5.871578334542821,RS_region_onsets
GPi,197225.84064,197230.46912,4.628479999984847,3,6.740862317333587,RS_region_onsets
