Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
30763.25376,30763.4176,0.16384000000107335,3,6.627205755947495,RS_network_onsets
37306.08128,37312.512,6.43072000000393,6,8.693409902604976,RS_network_onsets
55328.3584,55335.28064,6.922239999999874,5,6.290930389153548,RS_network_onsets
58058.71104,58109.87008,51.15903999999864,11,6.409715641460639,RS_network_onsets
62180.84352,62181.90848,1.0649599999960628,3,4.829634243059173,RS_network_onsets
72089.84576,72103.69024,13.844479999999749,7,8.28595985413898,RS_network_onsets
95424.14336,95425.24928,1.1059200000017881,3,5.244677877623081,RS_network_onsets
104003.74784,104255.97952,252.23167999999714,30,7.171389445193504,RS_network_onsets
105143.82848,105145.01632,1.1878399999986868,3,4.681637428806296,RS_network_onsets
114067.08736,114067.41504,0.3276800000021467,3,6.170375205982319,RS_network_onsets
115244.35968,115248.66048,4.3008000000118045,4,5.367011322145764,RS_network_onsets
154642.75968,154689.00352,46.243840000010096,9,5.060431441006056,RS_network_onsets
163706.6752,163707.6992,1.0240000000048894,3,4.936915746884299,RS_network_onsets
171150.336,171150.9504,0.6143999999912921,3,5.890588006681208,RS_network_onsets
172919.31648,172919.43936,0.12287999998079613,3,7.008528558734058,RS_network_onsets
173197.59872,173197.63968,0.04095999998389743,3,7.752135352932978,RS_network_onsets
180151.9104,180157.6448,5.734400000015739,4,4.671605873313357,RS_network_onsets
197225.84064,197230.46912,4.628479999984847,4,5.2430110743140546,RS_network_onsets
209715.4048,209715.77344,0.36864000000059605,3,5.6637427636061055,RS_network_onsets
219938.4064,220161.26976,222.86335999998846,36,13.650760786797223,RS_network_onsets
251217.26464,251217.38752,0.12287999998079613,3,6.68851413847433,RS_network_onsets
251817.24672,251817.28768,0.04096000001300126,4,10.506344537932831,RS_network_onsets
268670.89408,268671.01696,0.12287999998079613,3,6.73576116250184,RS_network_onsets
307593.74848,307600.50688,6.758399999991525,5,5.9662082944964006,RS_network_onsets
307890.70848,308185.62048,294.9120000000112,48,17.77114987890733,RS_network_onsets
311611.02336,311669.26848,58.24512000003597,12,6.226554589602024,RS_network_onsets
329223.86432,329223.94624,0.08192000002600253,3,6.73576116250184,RS_network_onsets
330337.4848,330370.53952,33.05472000001464,11,9.140773787087488,RS_network_onsets
332180.39808,332549.77536,369.37728000001516,71,29.98445073656708,RS_network_onsets
332881.7152,332882.61632,0.9011199999949895,3,5.369475164125928,RS_network_onsets
343193.64096,343455.25248,261.61152000003494,38,12.780478635104327,RS_network_onsets
348241.14176,348244.7872,3.645439999992959,4,5.488358726277234,RS_network_onsets
355649.78176,355770.08128,120.29952000000048,21,9.611747717385724,RS_network_onsets
359609.42592,359614.38208,4.956160000001546,4,4.863193864721275,RS_network_onsets
391655.6288,391657.10336,1.4745600000023842,5,9.41510934296091,RS_network_onsets
391902.04416,392051.75296,149.70880000002217,22,6.65597009501539,RS_network_onsets
392468.93056,392473.6,4.669439999968745,4,5.033334090668813,RS_network_onsets
393295.70816,393418.67008,122.96192000003066,17,6.235897949293655,RS_network_onsets
404976.88576,405364.57216,387.68640000000596,41,7.540777643530442,RS_network_onsets
405542.2976,406058.96704,516.669440000027,55,10.184097150083744,RS_network_onsets
410806.10816,410810.04032,3.9321599999675527,4,5.291249639639929,RS_network_onsets
