Region,Start_ms,End_ms,Duration_ms,Num_Events,RS,Method
GPi,4701.67552,4711.8336,10.158080000000155,3,4.057273202852924,RS_region_onsets
GPi,11972.44416,12056.04352,83.59936000000016,7,5.167781082022476,RS_region_onsets
GPi,18087.07584,18094.98112,7.905279999999038,3,4.382938549602818,RS_region_onsets
GPi,19052.17536,19968.98304,916.8076799999981,34,8.64144159558302,RS_region_onsets
GPi,24458.4448,24482.2016,23.756799999999203,4,4.5506558097437555,RS_region_onsets
GPi,28554.07616,28576.64512,22.568960000000516,4,4.755599866079056,RS_region_onsets
GPi,30738.0224,30848.57344,110.55103999999847,7,4.7857115024264685,RS_region_onsets
GPi,37306.24512,37318.53312,12.288000000000466,6,11.596074709355172,RS_region_onsets
GPi,42142.06464,42220.05248,77.9878400000016,6,4.091925490627337,RS_region_onsets
GPi,42895.07328,43105.93536,210.86208000000624,11,4.750024930401771,RS_region_onsets
GPi,52259.06176,52504.576,245.51424000000407,13,5.80972110653227,RS_region_onsets
GPi,52862.3616,52881.89952,19.537920000002487,4,4.9865411404633555,RS_region_onsets
GPi,55277.93664,55353.26208,75.32544000000053,6,4.286942102528884,RS_region_onsets
GPi,58073.33376,58104.91392,31.580159999997704,5,5.707889805895654,RS_region_onsets
GPi,61641.3184,62299.38176,658.0633600000001,30,10.32272876668791,RS_region_onsets
GPi,63460.59776,63485.05088,24.453120000005583,4,4.429655568617349,RS_region_onsets
GPi,63827.3536,63833.7024,6.3487999999997555,3,4.862878764306428,RS_region_onsets
GPi,64441.67168,64526.49984,84.8281599999973,7,5.103286848063553,RS_region_onsets
GPi,66897.55136,66899.51744,1.9660799999983283,3,6.445605254561757,RS_region_onsets
GPi,69333.07392,69342.08512,9.011200000008103,4,6.949045539894886,RS_region_onsets
GPi,69791.00672,69820.66176,29.655039999997825,4,4.178520433076606,RS_region_onsets
GPi,71089.88928,71442.80064,352.91135999999824,18,7.955127098202233,RS_region_onsets
GPi,72082.06336,72103.69024,21.626879999996163,8,14.365126713728472,RS_region_onsets
GPi,72403.47648,72408.55552,5.079039999996894,3,5.035451816620359,RS_region_onsets
GPi,73573.04832,73575.38304,2.3347199999989243,3,6.376415793896408,RS_region_onsets
GPi,74174.91456,74218.2912,43.376640000002226,5,4.5921005784409665,RS_region_onsets
GPi,79606.74304,79657.41056,50.667520000002696,5,4.1446040937994475,RS_region_onsets
GPi,81827.14368,82087.5264,260.3827200000087,12,4.513944244484029,RS_region_onsets
GPi,83252.34688,83413.48352,161.136639999997,10,6.703307761629804,RS_region_onsets
GPi,88461.35296,88471.38816,10.03519999999844,3,4.2313841363657705,RS_region_onsets
GPi,89348.38272,89461.92384,113.54112000000896,8,4.730536847713059,RS_region_onsets
GPi,95424.14336,95425.24928,1.1059200000017881,3,7.133971549521361,RS_region_onsets
GPi,95837.88032,95912.22272,74.34240000000864,6,4.235033862348592,RS_region_onsets
GPi,97271.43936,97280.04096,8.601599999994505,3,4.295871202961742,RS_region_onsets
GPi,98338.69312,98353.19296,14.499840000004042,4,5.661075660965729,RS_region_onsets
