Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microGPi1_L_1_CommonFiltered,0,1.094271175289824,913.8088893506493,633.4259200000088,894.1247665025288,543.5392,563449.81504,562906.27584,0.0,1.7801518694973724
microGPi1_L_1_CommonFiltered,1,4.11105443163989,243.0764747518343,164.7820799999754,247.5316553036579,226.87744,563435.06944,563208.192,0.0,1.439745190091899
microGPi1_L_1_CommonFiltered,2,0.8122790895992535,1225.4479124726477,883.3023999999859,1179.1681730222883,2973.45024,563003.14624,560029.696,0.0,1.5359868517011985
microGPi1_L_1_CommonFiltered,3,4.776130105438406,209.39562983655276,140.02176000000327,214.46084859243365,89.86624,563782.90176,563693.03552,0.0,1.3698618442302655
microGPi1_L_2_CommonFiltered,0,4.490590949487577,222.71743494271036,155.6889599999995,226.7569136603435,91.46368,563789.29152,563697.8278399999,0.0,1.5806818686782067
microGPi1_L_2_CommonFiltered,2,4.48172327383693,222.91871923990502,149.23775999998907,236.12481876921066,478.208,563570.8928,563092.6848,0.0,1.405066539354529
microGPi1_L_2_CommonFiltered,3,2.1566187182373193,463.1499915061729,323.624960000001,453.5108448957581,18.39104,562745.63072,562727.23968,0.0,1.5006995397219414
microGPi1_L_3_CommonFiltered,0,5.148572482765574,194.25855867677464,138.0556800000486,191.28676366660116,12.16512,563750.5024,563738.33728,0.0,2.9492588227598486
microGPi1_L_3_CommonFiltered,1,1.624558179198507,615.7016774644809,449.4950400000089,590.0264525278718,232.52992,563599.5648,563367.03488,0.0,1.6828838767639163
microGPi1_L_3_CommonFiltered,2,6.159487506939318,162.20352294930876,111.452160000008,166.63323848822148,182.6816,563353.31328,563170.63168,0.0,1.486643149396505
microGPi1_L_4_CommonFiltered,1,3.9124184970654,255.40016355555554,182.2719999999972,255.72600276994348,147.0464,563304.40704,563157.36064,0.0,2.7029672184405986
microGPi1_L_4_CommonFiltered,3,4.687453348931937,213.3866237093111,149.29920000000857,210.50970139665708,37.23264,563804.69248,563767.45984,0.0,2.0848057237664936
microGPi1_L_7_CommonFiltered,2,15.637259242350694,63.940920217785845,36.53631999999925,122.47617077982908,39.44448,563742.59712,563703.1526400001,0.0,5.144048962338783
