onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
233099.264,233253.35552,154.09152000001632,233198.96064,233341.952,142.99135999998543,15,7.498990937877115
233752.00256,233758.76096,6.758400000020629,233755.56608000002,234242.80576000002,487.23967999999877,4,6.236586315228621
234681.1392,234955.61216,274.4729599999846,234811.63776,235062.76352,251.12575999999535,17,5.100700881279848
240686.40768,240687.02208,0.6143999999912921,240686.4896,240804.90496,118.4153600000136,3,7.808189871635943
242527.10912,242531.08224,3.973119999980554,242531.00032,243076.62848,545.628160000022,3,4.902253597198667
242569.99424,242758.81984,188.82560000001104,242664.38656,242848.3584,183.97183999998379,30,24.910113240639486
246026.6496,246158.04928,131.39968000000226,246108.93824,246540.39039999997,431.4521599999862,18,13.000779549302964
249153.82272,249178.5216,24.69888000001083,249168.2816,249563.09504,394.8134399999981,5,4.736782514544547
259937.93536,260414.21824,476.2828799999843,260175.54432,260518.87104,343.32672000001185,33,10.758420137621625
261876.69504,262019.56352,142.86848000000464,261951.18079999997,262543.872,592.6912000000011,24,21.736749323011338
263567.7696,263645.10208,77.33247999998275,263611.98592,263687.96672,75.98080000001937,12,9.418932245553242
264695.97184,264704.49152,8.519679999968503,264696.34048,264988.30336,291.9628800000064,5,8.51709112947502
266265.68192,266478.51008,212.82815999997547,266376.02816,266592.99328,216.96512000000803,18,9.098314038933298
268977.23392,268977.88928,0.6553599999751896,268977.84832,269125.26336,147.4150399999926,3,7.751031457795994
269127.22944,269178.79808,51.56863999995403,269145.72288,269270.34368000005,124.62080000003334,8,6.346289515445158
270590.64832,270688.13312,97.48480000003474,270628.57728,270962.97472,334.39743999997154,9,5.397414511309918
271359.01696,271387.2384,28.22143999999389,271369.60511999996,271641.35424,271.74912000005133,6,5.965585841331745
272268.65664,272420.29056,151.63391999999294,272345.98912,272798.43328,452.44416000001365,13,5.438197493785891
276150.8864,276188.28288,37.39647999999579,276157.31712,276528.61952,371.30239999998594,7,7.115769233317408
282660.82304,282663.44448,2.6214400000171736,282662.99392,282796.56448,133.57056000002194,3,5.357039898478098
