onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
12466.46272,12533.5552,67.09248000000116,12497.3056,12662.43584,165.1302400000004,14,17.563311643298544
20631.18336,21303.41888,672.235520000002,20895.98976,21579.40736,683.4176000000007,39,11.909331998424532
22288.384,22473.64608,185.26208000000042,22398.5664,22613.89312,215.32672000000093,15,8.598191758792241
22811.648,22813.65504,2.0070400000004156,22813.16352,23294.27968,481.1161600000014,3,6.993800396454487
22995.72224,23025.99168,30.26944000000003,23005.42976,23208.09984,202.67007999999987,5,4.881416649216625
27560.83712,27600.2816,39.44447999999829,27584.73728,27762.15552,177.41823999999906,6,5.534850450262297
136445.66528,136763.5968,317.9315200000128,136588.75904,136733.42976,144.67071999999462,18,5.737686597829964
231258.7264,231260.32384,1.5974399999831803,231259.32032,231414.90688000002,155.5865600000252,4,12.12806825099602
250359.6032,250559.93856,200.3353599999973,250481.8688,250618.14272,136.2739200000069,12,5.349658791004625
297744.30208,297796.44416,52.14208000001963,297772.56448,298213.31455999997,440.7500799999689,6,4.630509449815425
317566.93504,317568.69632,1.7612799999769777,317567.30368,317621.41184,54.10816000000341,3,7.242196179832442
322761.9328,322825.70752,63.7747199999867,322789.62176,322964.35712,174.7353599999915,7,5.505172887730911
330573.37344,331144.51968,571.146240000031,330825.58464,331218.28864000004,392.704000000027,42,19.090098964304484
334620.22144,334630.42048,10.199039999977686,334623.06816,334934.8352,311.7670399999479,4,6.1264320812724264
335363.76832,335716.88448,353.11616000003414,335526.21568,335926.00576,399.7900799999479,18,4.766191488826153
335837.22496,335928.68864,91.4636799999862,335877.632,336133.18143999996,255.5494399999734,12,10.872330498886184
345443.69664,345491.70176,48.00512000004528,345465.32352,345615.29856,149.97504000004847,6,5.395206429381538
347072.34816,347109.29408,36.9459200000274,347095.90016,347326.50496,230.60479999997187,7,7.874654578814294
373129.58464,373135.1552,5.570559999963734,373134.49984,373215.96928,81.46944000001531,3,4.8062846332452285
385863.35232,385872.6912,9.338879999995697,385866.42432,386524.24192,657.8176000000094,4,6.366561425806157
386034.19648,386196.39808,162.20160000002943,386104.89344,386561.61792,456.7244799999753,12,5.760304996264142
387521.98656,387614.72,92.73343999998178,387567.32927999995,387830.0672,262.73792000004323,10,7.213818752235004
391553.024,391604.38784,51.36384000000544,391581.32736,391623.4752,42.14783999999054,7,6.025844723557835
391991.00928,391996.45696,5.447679999982938,391993.22112,392086.28224,93.06111999996938,3,4.777157733261168
403747.47136,403751.81312,4.34175999998115,403750.17472,403938.79552,188.62079999997513,3,5.217433005454554
