onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
233196.1344,233215.95904,19.82463999997708,233208.6272,233438.20799999998,229.5807999999961,6,7.004359854731135
233752.00256,233758.76096,6.758400000020629,233755.56608000002,234242.80576000002,487.23967999999877,4,6.11055161768542
240686.40768,240687.02208,0.6143999999912921,240686.4896,240804.90496,118.4153600000136,3,7.836345814758385
242569.99424,242758.81984,188.82560000001104,242664.38656,242848.3584,183.97183999998379,30,22.59684527320989
246026.6496,246158.04928,131.39968000000226,246108.93824,246540.39039999997,431.4521599999862,18,11.623409812398883
249084.68224,249178.5216,93.83936000001268,249132.97408,249304.33023999998,171.35615999996662,10,5.862888917306534
259928.14592,260396.72832,468.5823999999848,260142.75584,260487.45472,344.69888000001083,34,9.779660125957564
261876.69504,262019.56352,142.86848000000464,261949.0304,262569.94304,620.912639999995,23,18.398902739329444
263567.7696,263645.71648,77.94688000000315,263612.64128,263691.01824,78.37696000002325,14,11.615151958749525
264695.97184,264696.34048,0.36864000000059605,264696.09472,264755.03616,58.94144000002416,3,8.572052609737126
266323.31264,266439.4752,116.16255999996793,266379.79648,266685.15328,305.35680000000866,13,7.904200616488274
268977.23392,268977.88928,0.6553599999751896,268977.84832,269125.26336,147.4150399999926,3,7.898866171739719
269127.22944,269178.79808,51.56863999995403,269145.72288,269270.34368000005,124.62080000003334,8,5.710201978760281
270590.64832,270688.13312,97.48480000003474,270628.57728,270962.97472,334.39743999997154,9,4.888508379686566
271359.01696,271387.2384,28.22143999999389,271369.60511999996,271641.35424,271.74912000005133,6,5.542416016213849
272268.65664,272420.29056,151.63391999999294,272345.98912,272798.43328,452.44416000001365,13,4.629984891742067
276150.8864,276188.28288,37.39647999999579,276161.98656,276509.98271999997,347.9961599999806,6,4.972538915534891
276410.1632,276478.73024,68.56703999999445,276433.79712,276825.088,391.2908799999859,9,6.365005805645233
282660.82304,282663.44448,2.6214400000171736,282662.99392,282796.56448,133.57056000002194,3,5.317458702266846
