onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
75120.4352,75120.80384,0.36863999998604413,75120.4352,75516.76416,396.3289599999989,3,5.446829093120119
118492.24192,118555.48416,63.24224000000686,118527.48800000001,119262.41279999999,734.9247999999789,6,4.714007886469453
120937.22624,120937.59488,0.36864000000059605,120937.22624,121064.73472,127.5084799999895,3,5.671629645641957
133838.19264,133838.60224,0.4096000000135973,133838.2336,133993.22624,154.9926399999822,3,4.8931723686122695
170083.24608,170085.90848,2.662400000001071,170084.72064,170159.24735999998,74.52671999996528,4,6.4335301849726
181255.53664,181561.7536,306.21695999999065,181450.46528,181587.3536,136.8883199999982,13,6.152454683060451
228250.09152,228300.5952,50.50368000002345,228264.05888,228426.1376,162.07871999999043,7,6.708332152673407
252564.35712,252567.47008,3.1129599999985658,252567.47008,252647.34208,79.87200000000303,3,5.128110496419318
258711.51104,258727.3216,15.810559999983525,258715.56608000002,258836.93056,121.36447999998927,4,4.674999201777872
417727.32416,418269.14304,541.8188799999771,418077.61408,418470.78912,393.1750399999437,17,4.712650854873227
446539.93984,447683.46112,1143.5212799999863,447363.93216,447908.2496,544.3174399999552,61,28.88694250779168
455069.65504,455279.08352,209.4284800000023,455187.49696,455526.56384,339.0668799999985,11,6.144488938766615
476341.20704,476358.36928,17.16223999997601,476352.512,476561.65376,209.14176000002772,5,6.200091539177482
534394.01984,534671.03232,277.012480000034,534536.11008,534795.79648,259.68640000000596,13,6.077609884762983
691183.04256,691241.86112,58.81856000004336,691217.46944,691382.8864,165.41695999994408,6,5.400371677150204
693057.08544,693267.16928,210.0838399999775,693153.6076799999,693369.4464,215.83872000011615,10,4.76852418926625
