onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
12.6976,150.7328,138.0352,98.67264,464.40448,365.73184,15,6.106340918789772
6036.76672,6441.24672,404.4800000000005,6197.28896,6452.10112,254.8121600000004,29,7.139289928861751
7273.43104,7312.5888,39.15776000000005,7283.83488,7481.05728,197.22239999999965,7,4.848291099222657
10758.7584,10763.30496,4.546559999998863,10761.78944,10832.363519999999,70.5740799999985,4,5.228372502631064
21806.44864,21840.4864,34.03776000000289,21826.80576,21957.14048,130.33471999999892,7,5.246881622419244
22510.67392,22510.71488,0.04095999999844935,22510.71488,22528.8192,18.10432000000219,3,5.673184916712266
24832.28672,24950.3744,118.08768000000055,24885.98528,25010.09408,124.10879999999815,13,4.8719961130292395
41681.3056,41705.71776,24.412159999999858,41696.931840000005,41744.75264,47.82079999999405,6,5.308954245163925
120065.18784,120068.21888,3.031040000001667,120066.70336,120112.47616,45.7728000000061,4,5.484558345533415
189440.98304,189485.38368,44.400640000007115,189462.69184,189656.39168,193.69983999998658,9,6.077657611098721
206696.40704,206702.22336,5.816320000012638,206696.448,206707.58912,11.141119999985676,4,5.102918429550176
233747.2512,233747.37408,0.12288000000989996,233747.2512,233787.02336,39.772159999993164,3,4.919955944468063
263101.07136,263101.11232,0.04096000001300126,263101.07136,263261.30688,160.23551999998745,3,5.179673545514802
276967.99744,276968.07936,0.08191999996779487,276968.0384,277025.40288,57.36447999998927,4,7.172147153491572
293632.69632,293637.40672,4.710400000039954,293632.73728,293710.5408,77.80352000001585,4,5.415589622081221
299957.69856,299957.73952,0.04096000001300126,299957.73952,300009.55392,51.81439999997383,3,5.289290842333424
302296.55552,302357.9136,61.35808000003453,302332.3136,302428.3648,96.05119999998715,9,5.60720490856469
306372.48512,306372.608,0.12287999998079613,306372.608,306398.08512,25.47711999999592,3,4.9866291631443875
328730.05056,328730.09152,0.04096000001300126,328730.09152,328764.0064,33.91487999999663,3,4.9866291631443875
336192.96256,336193.04448,0.08191999996779487,336193.04448,336304.08704,111.04256000003079,3,4.7841564926906575
340928.26624,340928.3072,0.0409599999547936,340928.3072,340952.96512,24.657920000026934,3,5.579833601393274
365386.26048,365386.30144,0.04096000001300126,365386.30144,365418.496,32.194559999974445,3,5.179673545514802
369331.2,369331.24096,0.04096000001300126,369331.24096,369366.54848,35.30751999997301,3,5.266881468468373
371118.98112,371119.02208,0.04096000001300126,371119.02208,371239.85408,120.83199999999488,3,5.190368834631551
374165.79072,374168.49408,2.7033599999849685,374168.4736,374263.84896,95.37535999994725,4,6.087864559422471
376907.85792,376917.8112,9.953280000016093,376917.72928,376949.18656,31.457279999973252,5,5.687825068777666
379650.21184,379650.2528,0.04096000001300126,379650.2528,379659.30496,9.052159999962896,3,5.334877231487029
391503.29856,391527.0144,23.715839999960735,391516.07808,391566.00832,49.930240000016056,6,5.166529645871613
408325.81632,408325.9392,0.12288000003900379,408325.81632,408347.19744,21.38112000003457,3,4.892048363974714
420404.51072,420410.44992,5.93919999996433,420407.5008,420503.06048,95.55968000000576,4,5.4671669491863
421110.70208,421527.9616,417.25951999996323,421319.10656,421567.488,248.3814400000265,37,10.587715562727537
426229.80096,426242.78528,12.984319999988656,426233.56928,426303.73376,70.16447999997763,7,7.508405094984525
427776.0,427776.04096,0.04096000001300126,427776.04096,427798.48704,22.44607999996515,3,5.289290842333424
428802.74432,428802.78528,0.04096000001300126,428802.74432,428813.35296,10.608639999991283,3,4.90130768938751
429394.37056,429683.0976,288.72703999996884,429551.2064,429663.31392,112.10751999996137,19,5.19886614479013
434608.08704,434608.128,0.04096000001300126,434608.08704,434666.45504,58.367999999958556,3,5.158453037979209
441595.37152,441620.60288,25.23136000003433,441606.26688,442351.104,744.837119999982,6,4.653481953237445
