Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microGPi_L_1-3+,1,5.358911350199156,186.6293952688172,116.12159999999858,210.78376757944622,102.1952,486085.14048,485982.94528,0.0,1.2283748201465465
microGPi_L_2-3+,2,3.9847260212421363,250.89195371900826,152.084480000005,281.75515395878824,309.90336,486036.72576,485726.8224,0.0,1.2767950018677958
microGPi_L_4-5+,0,11.450172965531095,86.45435664330637,1.9660799999837764,486.8349789898943,2601.32864,483719.82336,481118.49471999996,0.0,1.443246475855582
microGPi_L_4-5+,1,7.204187158693837,132.5498592630677,2.4575999999651685,652.2272421430282,19647.24224,483704.29952,464057.05728,0.0,1.7229516683858355
microGPi_L_4-5+,2,4.208956860847398,226.2773209193154,4.751359999994747,836.9761735822816,19019.24352,481756.3648,462737.12127999996,0.0,1.6450091770025268
microGPi_L_4-5+,3,5.23753869389906,187.46864106876228,5.898240000009537,736.0542692056355,2603.13088,479710.8224,477107.69152,0.0,1.71414706036676
microGPi_L_4-5+,4,5.78268706541644,171.16127202846977,4.5465600000243285,810.3499991116521,2754.88768,483718.06208,480963.1744,0.0,1.4791209539728356
microGPi_L_5-6+,0,4.320043698816978,221.10935874225822,4.669439999997849,874.3708856565371,19019.20256,483127.74656,464108.544,0.0,1.583000787635941
microGPi_L_5-6+,1,5.535827425484042,178.75935262453532,5.611520000005839,685.9761143447199,2267.66848,483130.32704,480862.65856,0.0,1.6445419626811386
microGPi_L_5-6+,2,10.983196813325641,90.12691686774073,1.9660799999983283,503.332181710255,2601.32864,483698.81088,481097.48224,0.0,1.4745156393502856
microGPi_L_5-6+,3,6.146805034316729,155.52248715098762,2.6214400000026217,729.8641210605842,19157.27872,483702.94784,464545.66912,0.0,1.7450335442453229
microGPi_L_5-6+,4,6.338121255264338,150.58985225974024,3.645439999992959,712.0751533498109,19900.17024,483716.9152,463816.74496,0.0,1.4035350109548224
microGPi_L_9-10+,2,1.8535044631590938,515.6656014222223,38.83008000001428,1436.052732022149,19051.27424,483150.31552,464099.04128,0.0,1.7702282454035
microGPi_R_4-5+,0,3.982668857576033,250.72477535917315,174.8172799999884,257.2070712031048,599.57248,485752.0128,485152.44032000005,0.0,1.2356628130195673
microGPi_R_4-5+,4,3.4766065957146157,287.50180490230906,187.96543999999994,297.3367363068202,408.33024,485998.87872,485590.54848,0.0,1.2833512967347407
microGPi_R_4-6+,1,1.9501911554659501,512.3653528194297,360.0793599999961,503.60341581312827,788.8896,485998.87872,485209.98912,0.0,1.3909169078362038
microGPi_R_4-6+,2,1.7506462798539277,568.9377731764705,378.12223999996786,564.8078796095491,408.33024,484005.43744,483597.1072,0.0,1.3659646829479362
microGPi_R_4-6+,4,4.155470605528712,240.29343255076773,174.6534400000237,230.8565702879977,599.57248,485752.0128,485152.44032000005,0.0,1.2659959501396516
microGPi_R_9-10+,0,1.6601310785453816,600.6119797518611,379.57631999999285,656.3539170668248,1596.25216,485689.50784,484093.25568,0.0,1.5617316185149717
microPPN_L_1-2+,0,4.266557443498291,233.88007857211772,62.668800000014016,697.6905565242256,1024.2048,485857.60768,484833.40288,0.0,4.31355232462271
microPPN_L_1-2+,1,1.4852721669265991,669.5489189459084,327.598079999967,985.23830485143,3169.36192,485914.13248,482744.77056,0.0,1.2071211752314557
microPPN_L_1-2+,4,4.280957589161015,233.42274953846155,111.37024000001111,348.1741598548685,493.44512,486012.76416,485519.31904000003,0.0,1.4824005167189238
microPPN_L_1-3+,0,3.676151471326638,271.93756810750284,153.76383999999962,347.2450047892915,332.26752,486012.76416,485680.49664,0.0,1.314045752703944
microPPN_L_1-3+,3,1.4688148575977724,681.0863268443198,401.3670399999828,903.581491346243,103.05536,485717.6064,485614.55104,0.0,1.4139188930776125
microPPN_L_1-3+,4,0.9977243780601116,1002.3720198347107,497.72544000001653,1500.9633287268648,414.59712,485562.65472,485148.0576,0.0,1.2677222884092445
microPPN_L_2-3+,0,1.3083560916417134,764.9833443779528,492.7488000000012,911.494233537725,296.67328,486061.09696,485764.42368,0.0,1.245149577837807
microPPN_L_2-3+,1,3.3408337937517962,299.3373708934073,163.22560000000522,382.17061392051056,69.38624,485893.9392,485824.55296,0.0,1.7761463670830309
microPPN_L_2-3+,3,4.540160211090034,219.8335268902992,57.09824000002118,648.459451547962,904.8064,485857.56672,484952.76032,0.0,5.180381480268677
